Reporting Area,MMWR Year,MMWR Week,"Mumps, Current week","Mumps, Current week, flag","Mumps, Previous 52 weeks Med","Mumps, Previous 52 weeks Med, flag","Mumps, Previous 52 weeks Max","Mumps, Previous 52 weeks Max, flag","Mumps, Cum 2016","Mumps, Cum 2016, flag","Mumps, Cum 2015","Mumps, Cum 2015, flag","Pertussis, Current week","Pertussis, Current week, flag","Pertussis, Previous 52 weeks Med","Pertussis, Previous 52 weeks Med, flag","Pertussis, Previous 52 weeks Max","Pertussis, Previous 52 weeks Max, flag","Pertussis, Cum 2016","Pertussis, Cum 2016, flag","Pertussis, Cum 2015","Pertussis, Cum 2015, flag","Rabies, animal, Current week","Rabies, animal, Current week, flag","Rabies, animal, Previous 52 weeks Med","Rabies, animal, Previous 52 weeks Med, flag","Rabies, animal, Previous 52 weeks Max","Rabies, animal, Previous 52 weeks Max, flag","Rabies, animal, Cum 2016","Rabies, animal, Cum 2016, flag","Rabies, animal, Cum 2015","Rabies, animal, Cum 2015, flag",Location 1,Location 2
WISCONSIN,2016,1,,-,0,,17,,,-,,-,,-,10,,29,,,-,17,,,N,0,,0,,,N,,N,"WISCONSIN
(44.395526, -89.834513)",
NEW HAMPSHIRE,2016,1,,-,0,,1,,,-,,-,1,,0,,3,,1,,,-,,-,0,,2,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
ILLINOIS,2016,1,,-,5,,33,,,-,2,,,-,12,,23,,,-,12,,,-,1,,18,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
VERMONT,2016,1,,-,0,,1,,,-,,-,3,,0,,6,,3,,,-,,-,0,,2,,,-,,-,"VERMONT
(43.622479, -72.51927)",
OKLAHOMA,2016,1,,-,0,,1,,,-,,-,,-,0,,9,,,-,,-,,-,0,,23,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
MISSOURI,2016,1,,-,0,,1,,,-,,-,,-,0,,11,,,-,10,,,-,0,,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
MINNESOTA,2016,1,,-,0,,2,,,-,,-,,-,6,,20,,,-,20,,,-,0,,0,,,-,,-,"MINNESOTA
(44.943719, -93.094281)",
CALIFORNIA,2016,1,,-,0,,2,,,-,,-,2,,60,,121,,2,,121,,,-,4,,37,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
CONNECTICUT,2016,1,,-,0,,1,,,-,,-,,-,1,,4,,,-,,-,,-,3,,12,,,-,5,,"CONNECTICUT
(41.544654, -72.651713)",
SOUTH DAKOTA,2016,1,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
MASSACHUSETTS,2016,1,,-,0,,2,,,-,,-,,-,4,,13,,,-,8,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
TEXAS,2016,1,,-,0,,5,,,-,,-,2,,28,,56,,2,,3,,,-,15,,69,,,-,1,,"TEXAS
(31.827233, -99.423022)",
OREGON,2016,1,,-,0,,1,,,-,,-,,-,10,,27,,,-,13,,,-,0,,4,,,-,,-,"OREGON
(44.567912, -120.156945)",
PENNSYLVANIA,2016,1,,-,0,,2,,,-,,-,12,,16,,33,,12,,17,,,-,5,,16,,,-,7,,"PENNSYLVANIA
(40.789676, -77.858055)",
MISSISSIPPI,2016,1,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
NEBRASKA,2016,1,,-,0,,1,,,-,,-,6,,5,,74,,6,,34,,,-,0,,5,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
MICHIGAN,2016,1,,-,0,,2,,,-,,-,4,,8,,25,,4,,14,,,-,0,,4,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
GUAM,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
PUERTO RICO,2016,1,,-,0,,1,,,-,1,,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
MAINE,2016,1,,-,0,,0,,,-,,-,7,,4,,22,,7,,12,,,-,0,,2,,,-,,-,"MAINE
(45.252223, -68.986647)",
KENTUCKY,2016,1,,-,0,,3,,,-,,-,6,,2,,13,,6,,6,,,-,0,,2,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
IDAHO,2016,1,,-,0,,3,,,-,,-,,-,3,,20,,,-,1,,,-,0,,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
NEVADA,2016,1,,-,0,,0,,,-,,-,,-,2,,8,,,-,3,,,-,0,,2,,,-,,-,"NEVADA
(39.491833, -117.070159)",
VIRGINIA,2016,1,,-,0,,5,,,-,,-,,-,5,,21,,,-,1,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
RHODE ISLAND,2016,1,,-,0,,1,,,-,,-,,-,0,,4,,,-,,-,,-,0,,2,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
ALASKA,2016,1,,-,0,,0,,,-,,-,,-,1,,10,,,-,3,,,-,0,,2,,,-,,-,"ALASKA
(64.836661, -147.738891)",
ALABAMA,2016,1,,-,0,,1,,,-,,-,1,,3,,9,,1,,6,,2,,2,,6,,2,,1,,"ALABAMA
(32.839182, -86.631125)",
NORTH CAROLINA,2016,1,,-,0,,1,,,-,,-,,-,5,,40,,,-,15,,2,,7,,12,,2,,1,,"NORTH CAROLINA
(35.47995, -79.180571)",
NEW YORK,2016,1,,-,0,,3,,,-,,-,4,,11,,33,,4,,9,,5,,7,,14,,5,,,-,"NEW YORK
(42.826892, -75.544286)",
GEORGIA,2016,1,,-,0,,0,,,-,,-,,-,3,,12,,,-,3,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
OHIO,2016,1,,-,0,,4,,,-,2,,25,,13,,53,,25,,37,,,-,0,,5,,,-,1,,"OHIO
(40.056807, -82.405897)",
WASHINGTON,2016,1,,-,0,,3,,,-,,-,,-,18,,121,,,-,,-,,-,0,,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
UTAH,2016,1,,-,0,,0,,,-,,-,,-,7,,24,,,-,18,,,-,0,,4,,,-,,-,"UTAH
(39.359772, -111.584173)",
NORTH DAKOTA,2016,1,,-,0,,0,,,-,,-,,-,0,,4,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
MONTANA,2016,1,,-,0,,0,,,-,,-,1,,3,,18,,1,,7,,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
MARYLAND,2016,1,,-,0,,5,,,-,,-,1,,2,,10,,1,,10,,,-,7,,18,,,-,3,,"MARYLAND
(39.290443, -76.612333)",
TENNESSEE,2016,1,,-,0,,2,,,-,,-,2,,3,,12,,2,,10,,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
COLORADO,2016,1,,-,0,,3,,,-,1,,3,,18,,31,,3,,21,,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
ARIZONA,2016,1,,-,0,,1,,,-,,-,5,,11,,30,,5,,16,,,N,0,,0,,,N,,N,"ARIZONA
(34.869712, -111.760902)",
WEST VIRGINIA,2016,1,,-,0,,1,,,-,1,,,-,1,,7,,,-,,-,,-,1,,4,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
HAWAII,2016,1,,-,0,,1,,,-,,-,,-,1,,4,,,-,,-,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
KANSAS,2016,1,,-,0,,0,,,-,,-,,-,7,,23,,,-,20,,,-,2,,6,,,-,2,,"KANSAS
(38.345528, -98.201847)",
ARKANSAS,2016,1,,-,0,,1,,,-,,-,,-,1,,7,,,-,,-,,-,1,,7,,,-,1,,"ARKANSAS
(34.748745, -92.275105)",
LOUISIANA,2016,1,,-,0,,1,,,-,,-,,-,1,,5,,,-,1,,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
INDIANA,2016,1,,-,0,,1,,,-,,-,,-,4,,9,,,-,4,,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
DELAWARE,2016,1,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
SOUTH CAROLINA,2016,1,,-,0,,0,,,-,,-,6,,3,,17,,6,,2,,,N,0,,0,,,N,,N,"SOUTH CAROLINA
(34.009286, -81.037094)",
UNITED STATES,2016,2,3,,15,,75,,8,,29,,132,,356,,539,,257,,992,,15,,75,,122,,29,,54,,,
NEW ENGLAND,2016,2,,-,0,,3,,,-,,-,5,,12,,31,,17,,51,,3,,5,,13,,3,,6,,,
MID. ATLANTIC,2016,2,1,,3,,12,,1,,3,,31,,40,,68,,54,,90,,7,,15,,32,,12,,14,,,
NEW YORK CITY,2016,2,,-,1,,10,,,-,1,,,-,6,,22,,,-,8,,,-,0,,0,,,-,,-,"NEW YORK CITY
",
E.N. CENTRAL,2016,2,1,,6,,46,,2,,11,,30,,50,,108,,60,,177,,,-,1,,18,,,-,4,,,
W.N. CENTRAL,2016,2,1,,1,,31,,5,,3,,5,,22,,106,,11,,169,,,-,2,,9,,,-,4,,,
S. ATLANTIC,2016,2,,-,1,,5,,,-,5,,16,,27,,72,,33,,75,,4,,14,,57,,11,,18,,,
DIST. OF COL.,2016,2,,-,0,,0,,,-,,-,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2016,2,,-,0,,3,,,-,3,,6,,10,,24,,22,,32,,,-,2,,6,,2,,1,,,
W.S. CENTRAL,2016,2,,-,0,,6,,,-,1,,1,,31,,57,,3,,9,,1,,18,,70,,1,,7,,,
MOUNTAIN,2016,2,,-,0,,3,,,-,3,,35,,49,,85,,48,,155,,,-,1,,4,,,-,,-,,
PACIFIC,2016,2,,-,0,,3,,,-,,-,3,,93,,221,,9,,234,,,-,4,,37,,,-,,-,,
AMER. SAMOA,2016,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,U,,-,,-,,U,,U,"AMER. SAMOA
",
C.N.M.I.,2016,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
MISSISSIPPI,2016,2,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,,-,0,,2,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
NEW HAMPSHIRE,2016,2,,-,0,,1,,,-,,-,,-,1,,3,,1,,,-,,-,0,,2,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
ALABAMA,2016,2,,-,0,,1,,,-,,-,,-,3,,9,,1,,8,,,-,2,,6,,2,,1,,"ALABAMA
(32.839182, -86.631125)",
PENNSYLVANIA,2016,2,,-,0,,2,,,-,1,,18,,16,,33,,37,,46,,,-,8,,26,,,-,13,,"PENNSYLVANIA
(40.789676, -77.858055)",
WISCONSIN,2016,2,,-,0,,17,,,-,,-,,-,10,,29,,,-,46,,,N,0,,0,,,N,,N,"WISCONSIN
(44.395526, -89.834513)",
VERMONT,2016,2,,-,0,,1,,,-,,-,2,,0,,6,,5,,1,,,-,0,,2,,,-,,-,"VERMONT
(43.622479, -72.51927)",
MONTANA,2016,2,,-,0,,0,,,-,,-,,-,3,,18,,1,,24,,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
NEW JERSEY,2016,2,,-,0,,2,,,-,,-,,-,7,,15,,,-,14,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
DELAWARE,2016,2,,-,0,,1,,,-,,-,1,,0,,3,,4,,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
INDIANA,2016,2,,-,0,,1,,,-,,-,,-,4,,9,,,-,5,,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
GEORGIA,2016,2,,-,0,,0,,,-,,-,,-,3,,12,,,-,8,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
GUAM,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
OREGON,2016,2,,-,0,,1,,,-,,-,1,,10,,27,,2,,23,,,-,0,,4,,,-,,-,"OREGON
(44.567912, -120.156945)",
NEW YORK,2016,2,1,,0,,3,,1,,1,,13,,11,,36,,17,,22,,7,,7,,14,,12,,1,,"NEW YORK
(42.826892, -75.544286)",
PUERTO RICO,2016,2,,-,0,,1,,,-,2,,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
ARIZONA,2016,2,,-,0,,1,,,-,,-,12,,11,,30,,20,,28,,,N,0,,0,,,N,,N,"ARIZONA
(34.869712, -111.760902)",
CALIFORNIA,2016,2,,-,0,,2,,,-,,-,,-,59,,101,,5,,201,,,-,4,,37,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
NORTH DAKOTA,2016,2,,-,0,,0,,,-,,-,,-,0,,4,,,-,3,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
KANSAS,2016,2,,-,0,,0,,,-,,-,,-,7,,23,,,-,43,,,-,2,,6,,,-,4,,"KANSAS
(38.345528, -98.201847)",
WEST VIRGINIA,2016,2,,-,0,,0,,,-,1,,,-,1,,7,,,-,1,,,-,1,,4,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
MICHIGAN,2016,2,,-,0,,2,,,-,,-,5,,8,,25,,10,,30,,,-,0,,4,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
NEW MEXICO,2016,2,,-,0,,1,,,-,,-,,-,4,,14,,,-,9,,,-,0,,1,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
SOUTH CAROLINA,2016,2,,-,0,,0,,,-,,-,2,,3,,17,,8,,4,,,N,0,,0,,,N,,N,"SOUTH CAROLINA
(34.009286, -81.037094)",
VIRGINIA,2016,2,,-,0,,5,,,-,2,,,-,5,,21,,,-,4,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
NEBRASKA,2016,2,,-,0,,1,,,-,,-,5,,5,,74,,11,,64,,,-,0,,5,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
MISSOURI,2016,2,,-,0,,1,,,-,,-,,-,0,,11,,,-,19,,,-,0,,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
IOWA,2016,2,1,,0,,31,,5,,1,,,-,2,,10,,,-,9,,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
NEVADA,2016,2,,-,0,,0,,,-,,-,,-,2,,8,,,-,5,,,-,0,,2,,,-,,-,"NEVADA
(39.491833, -117.070159)",
WASHINGTON,2016,2,,-,0,,3,,,-,,-,,-,18,,120,,,-,,-,,-,0,,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
OHIO,2016,2,1,,0,,4,,1,,6,,25,,13,,53,,50,,61,,,-,0,,5,,,-,4,,"OHIO
(40.056807, -82.405897)",
SOUTH DAKOTA,2016,2,,-,0,,0,,,-,,-,,-,0,,2,,,-,1,,,-,0,,2,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
NORTH CAROLINA,2016,2,,-,0,,1,,,-,1,,,-,5,,40,,,-,34,,3,,7,,12,,5,,7,,"NORTH CAROLINA
(35.47995, -79.180571)",
TEXAS,2016,2,,-,0,,5,,,-,,-,1,,28,,56,,3,,6,,1,,15,,69,,1,,4,,"TEXAS
(31.827233, -99.423022)",
MAINE,2016,2,,-,0,,0,,,-,,-,3,,4,,22,,11,,34,,3,,0,,2,,3,,1,,"MAINE
(45.252223, -68.986647)",
IDAHO,2016,2,,-,0,,3,,,-,2,,3,,3,,20,,3,,7,,,-,0,,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
RHODE ISLAND,2016,2,,-,0,,1,,,-,,-,,-,0,,4,,,-,,-,,-,0,,2,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
MINNESOTA,2016,2,,-,0,,2,,,-,2,,,-,6,,14,,,-,30,,,-,0,,0,,,-,,-,"MINNESOTA
(44.943719, -93.094281)",
CONNECTICUT,2016,2,,-,0,,1,,,-,,-,,-,1,,4,,,-,2,,,-,3,,12,,,-,5,,"CONNECTICUT
(41.544654, -72.651713)",
KENTUCKY,2016,2,,-,0,,3,,,-,3,,2,,2,,14,,15,,10,,,-,0,,2,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
FLORIDA,2016,2,,-,0,,1,,,-,,-,13,,7,,14,,20,,9,,1,,0,,51,,2,,2,,"FLORIDA
(28.915325, -81.922409)",
WYOMING,2016,2,,-,0,,0,,,-,,-,,-,0,,4,,,-,1,,,-,0,,2,,,-,,-,"WYOMING
(43.23558, -108.110518)",
HAWAII,2016,2,,-,0,,1,,,-,,-,,-,1,,4,,,-,2,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
ILLINOIS,2016,2,,-,6,,33,,1,,5,,,-,12,,25,,,-,35,,,-,1,,18,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
LOUISIANA,2016,2,,-,0,,1,,,-,,-,,-,1,,5,,,-,1,,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
ALASKA,2016,2,,-,0,,0,,,-,,-,2,,1,,10,,2,,8,,,-,0,,2,,,-,,-,"ALASKA
(64.836661, -147.738891)",
UTAH,2016,2,,-,0,,0,,,-,,-,,-,6,,24,,1,,32,,,-,0,,4,,,-,,-,"UTAH
(39.359772, -111.584173)",
MARYLAND,2016,2,,-,0,,5,,,-,1,,,-,2,,8,,1,,14,,,-,7,,20,,4,,9,,"MARYLAND
(39.290443, -76.612333)",
OKLAHOMA,2016,2,,-,0,,1,,,-,,-,,-,0,,9,,,-,,-,,-,0,,23,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
ARKANSAS,2016,2,,-,0,,1,,,-,1,,,-,1,,7,,,-,2,,,-,0,,7,,,-,3,,"ARKANSAS
(34.748745, -92.275105)",
COLORADO,2016,2,,-,0,,3,,,-,1,,20,,18,,31,,23,,49,,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
TENNESSEE,2016,2,,-,0,,2,,,-,,-,4,,3,,12,,6,,13,,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
MASSACHUSETTS,2016,2,,-,0,,2,,,-,,-,,-,4,,13,,,-,14,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
UNITED STATES,2016,3,5,,15,,75,,38,,40,,117,,355,,539,,430,,1432,,9,,76,,123,,42,,134,,,
NEW ENGLAND,2016,3,,-,0,,3,,,-,,-,4,,12,,31,,24,,67,,1,,5,,13,,6,,6,,,
MID. ATLANTIC,2016,3,,-,2,,12,,2,,7,,34,,40,,68,,97,,129,,4,,15,,32,,16,,27,,,
NEW YORK CITY,2016,3,,-,1,,10,,1,,3,,,-,6,,22,,,-,11,,,-,0,,0,,,-,,-,"NEW YORK CITY
",
E.N. CENTRAL,2016,3,2,,6,,46,,5,,13,,23,,50,,108,,90,,242,,,-,1,,18,,,-,4,,,
W.N. CENTRAL,2016,3,3,,1,,31,,31,,3,,8,,23,,106,,24,,266,,,-,2,,9,,1,,5,,,
S. ATLANTIC,2016,3,,-,1,,5,,,-,6,,8,,27,,72,,43,,110,,3,,14,,57,,14,,75,,,
DIST. OF COL.,2016,3,,-,0,,0,,,-,,-,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2016,3,,-,0,,2,,,-,5,,1,,10,,27,,38,,39,,1,,2,,6,,4,,3,,,
W.S. CENTRAL,2016,3,,-,0,,6,,,-,2,,2,,31,,57,,6,,20,,,-,19,,70,,1,,14,,,
MOUNTAIN,2016,3,,-,0,,3,,,-,4,,33,,49,,85,,88,,239,,,-,1,,5,,,-,,-,,
PACIFIC,2016,3,,-,0,,3,,,-,,-,4,,92,,221,,20,,320,,,-,4,,37,,,-,,-,,
AMER. SAMOA,2016,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,U,,-,,-,,U,,U,"AMER. SAMOA
",
C.N.M.I.,2016,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
OKLAHOMA,2016,3,,-,0,,1,,,-,,-,,-,0,,9,,,-,,-,,-,0,,23,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
C.N.M.I.,2016,28,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
KANSAS,2016,3,,-,0,,0,,,-,,-,,-,7,,19,,,-,62,,,-,2,,6,,1,,5,,"KANSAS
(38.345528, -98.201847)",
MISSOURI,2016,3,,-,0,,1,,,-,,-,,-,0,,11,,,-,30,,,-,0,,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
KENTUCKY,2016,3,,-,0,,1,,,-,3,,1,,2,,24,,31,,11,,,-,0,,2,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
MINNESOTA,2016,3,,-,0,,1,,,-,2,,,-,7,,14,,,-,44,,,-,0,,0,,,-,,-,"MINNESOTA
(44.943719, -93.094281)",
COLORADO,2016,3,,-,0,,3,,,-,1,,23,,18,,31,,48,,80,,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
ALASKA,2016,3,,-,0,,0,,,-,,-,1,,1,,10,,3,,8,,,-,0,,2,,,-,,-,"ALASKA
(64.836661, -147.738891)",
WYOMING,2016,3,,-,0,,0,,,-,,-,,-,0,,4,,1,,2,,,-,0,,2,,,-,,-,"WYOMING
(43.23558, -108.110518)",
NORTH DAKOTA,2016,3,,-,0,,0,,,-,,-,,-,0,,4,,,-,3,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
WISCONSIN,2016,3,,-,0,,17,,,-,,-,1,,10,,20,,2,,66,,,N,0,,0,,,N,,N,"WISCONSIN
(44.395526, -89.834513)",
RHODE ISLAND,2016,3,,-,0,,1,,,-,,-,,-,0,,4,,,-,,-,,-,0,,2,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
TENNESSEE,2016,3,,-,0,,2,,,-,2,,,-,3,,12,,6,,17,,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
MASSACHUSETTS,2016,3,,-,0,,2,,,-,,-,,-,4,,13,,,-,18,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
DELAWARE,2016,3,,-,0,,1,,,-,,-,,-,0,,3,,4,,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
GUAM,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
SOUTH DAKOTA,2016,3,,-,0,,0,,,-,,-,,-,0,,2,,,-,1,,,-,0,,2,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
MONTANA,2016,3,,-,0,,0,,,-,,-,,-,3,,18,,1,,39,,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
TEXAS,2016,3,,-,0,,5,,,-,1,,2,,28,,56,,6,,15,,,-,16,,69,,1,,11,,"TEXAS
(31.827233, -99.423022)",
MISSISSIPPI,2016,3,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,,-,0,,2,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
