Reporting Area,MMWR Year,MMWR Week,"Hepatitis (viral, acute), type A, Current week","Hepatitis (viral, acute), type A, Current week, flag ","Hepatitis (viral, acute), type A, Previous 52 weeks Med","Hepatitis (viral, acute), type A, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type A, Previous 52 weeks Max","Hepatitis (viral, acute), type A, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type A, Cum 2014","Hepatitis (viral, acute), type A, Cum 2014, flag","Hepatitis (viral, acute), type A, Cum 2013","Hepatitis (viral, acute), type A, Cum 2013, flag","Hepatitis (viral, acute), type B, Current week","Hepatitis (viral, acute), type B, Current week, flag","Hepatitis (viral, acute), type B, Previous 52 weeks Med","Hepatitis (viral, acute), type B, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type B, Previous 52 weeks Max","Hepatitis (viral, acute), type B, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type B, Cum 2014","Hepatitis (viral, acute), type B, Cum 2014, flag","Hepatitis (viral, acute), type B, Cum 2013","Hepatitis (viral, acute), type B, Cum 2013, flag","Hepatitis (viral, acute), type C, Current week","Hepatitis (viral, acute), type C, Current week, flag","Hepatitis (viral, acute), type C, Previous 52 weeks Med","Hepatitis (viral, acute), type C, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type C, Previous 52 weeks Max","Hepatitis (viral, acute), type C, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type C, Cum 2014","Hepatitis (viral, acute), type C, Cum 2014, flag","Hepatitis (viral, acute), type C, Cum 2013","Hepatitis (viral, acute), type C, Cum 2013, flag",Location 1,Location 2
MICHIGAN,2017,1,,-,1,,4,,,-,,-,,-,1,,3,,,-,,-,,-,1,,5,,,-,4,,"MICHIGAN
(44.66399, -84.711206)",
WISCONSIN,2017,1,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,,-,1,,3,,,-,1,,"WISCONSIN
(44.395526, -89.834513)",
NORTH DAKOTA,2017,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
INDIANA,2017,1,,-,0,,3,,,-,3,,,-,4,,9,,,-,3,,,-,2,,7,,,-,2,,"INDIANA
(39.76845, -86.156212)",
TENNESSEE,2017,1,,-,0,,2,,,-,,-,2,,4,,7,,2,,5,,,-,3,,11,,,-,7,,"TENNESSEE
(35.681402, -85.774444)",
FLORIDA,2017,1,2,,2,,7,,2,,2,,5,,11,,17,,5,,6,,1,,4,,9,,1,,1,,"FLORIDA
(28.915325, -81.922409)",
DELAWARE,2017,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
VERMONT,2017,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,"VERMONT
(43.622479, -72.51927)",
NEBRASKA,2017,1,,-,0,,4,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,,-,1,,"NEBRASKA
(41.640503, -99.367122)",
MISSOURI,2017,1,,-,0,,2,,,-,,-,,-,1,,3,,,-,2,,,-,0,,3,,,-,1,,"MISSOURI
(38.636168, -92.566292)",
GUAM,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
SOUTH CAROLINA,2017,1,,-,0,,2,,,-,1,,,-,0,,2,,,-,2,,,-,0,,2,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
OKLAHOMA,2017,1,,-,0,,4,,,-,,-,,-,0,,8,,,-,,-,,-,0,,4,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
WEST VIRGINIA,2017,1,,-,0,,4,,,-,,-,,-,2,,12,,,-,3,,,-,1,,6,,,-,2,,"WEST VIRGINIA
(38.668501, -80.709421)",
VIRGINIA,2017,1,,-,2,,40,,,-,,-,,-,1,,5,,,-,1,,1,,1,,4,,1,,1,,"VIRGINIA
(37.542699, -78.45822)",
ILLINOIS,2017,1,,-,1,,4,,,-,1,,,-,0,,3,,,-,2,,,-,0,,3,,,-,2,,"ILLINOIS
(40.477092, -88.993221)",
ALASKA,2017,1,1,,0,,1,,1,,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
NEW YORK,2017,1,1,,1,,3,,1,,1,,,-,1,,3,,,-,,-,,-,3,,11,,,-,3,,"NEW YORK
(42.826892, -75.544286)",
C.N.M.I.,2017,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
PUERTO RICO,2017,1,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
NEW JERSEY,2017,1,,-,1,,4,,,-,2,,,-,0,,3,,,-,2,,,-,1,,4,,,-,1,,"NEW JERSEY
(40.104655, -74.386686)",
WASHINGTON,2017,1,,-,0,,3,,,-,,-,,-,1,,4,,,-,,-,,-,1,,6,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
ALABAMA,2017,1,,-,0,,2,,,-,2,,,-,1,,3,,,-,2,,,-,0,,4,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
DIST. OF COL.,2017,1,,U,0,,0,,,U,,U,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
KENTUCKY,2017,1,,-,0,,2,,,-,,-,1,,3,,11,,1,,6,,1,,2,,8,,1,,3,,"KENTUCKY
(37.64591, -84.774043)",
PENNSYLVANIA,2017,1,,-,1,,3,,,-,,-,,-,1,,3,,,-,1,,,-,3,,8,,,-,6,,"PENNSYLVANIA
(40.789676, -77.858055)",
HAWAII,2017,1,,-,0,,33,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
MASSACHUSETTS,2017,1,,-,1,,4,,,-,,-,,-,0,,3,,,-,1,,,-,4,,12,,,-,7,,"MASSACHUSETTS
(42.268546, -72.085064)",
CONNECTICUT,2017,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,"CONNECTICUT
(41.544654, -72.651713)",
IOWA,2017,1,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
CALIFORNIA,2017,1,,-,4,,10,,,-,,-,,-,2,,6,,,-,3,,,-,1,,4,,,-,1,,"CALIFORNIA
(37.640735, -121.002435)",
GEORGIA,2017,1,1,,1,,3,,1,,3,,1,,1,,7,,1,,4,,,-,1,,4,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
UTAH,2017,1,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,,-,1,,4,,,-,1,,"UTAH
(39.359772, -111.584173)",
NEVADA,2017,1,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,,-,0,,3,,,-,,-,"NEVADA
(39.491833, -117.070159)",
NORTH CAROLINA,2017,1,,-,1,,5,,,-,3,,,-,2,,6,,,-,1,,,-,1,,4,,,-,2,,"NORTH CAROLINA
(35.47995, -79.180571)",
TEXAS,2017,1,,-,3,,6,,,-,,-,,-,2,,6,,,-,,-,,-,0,,4,,,-,,-,"TEXAS
(31.827233, -99.423022)",
ARIZONA,2017,1,,-,1,,3,,,-,1,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
NEW HAMPSHIRE,2017,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
COLORADO,2017,1,1,,0,,2,,1,,,-,1,,0,,2,,1,,,-,,-,0,,2,,,-,,-,"COLORADO
(38.841772, -106.132562)",
OHIO,2017,1,,-,0,,7,,,-,,-,2,,5,,13,,2,,8,,,-,3,,10,,,-,2,,"OHIO
(40.056807, -82.405897)",
IDAHO,2017,1,,-,0,,1,,,-,1,,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"IDAHO
(43.680635, -114.364237)",
UNITED STATES,2017,2,7,,32,,101,,14,,51,,23,,54,,79,,45,,114,,9,,44,,71,,15,,113,,,
NEW ENGLAND,2017,2,,-,2,,5,,,-,3,,,-,1,,4,,,-,5,,,-,4,,14,,1,,22,,,
MID. ATLANTIC,2017,2,1,,4,,10,,2,,8,,2,,4,,7,,2,,4,,3,,7,,17,,3,,14,,,
NEW YORK CITY,2017,2,1,,1,,3,,1,,1,,1,,1,,3,,1,,1,,,-,0,,1,,,-,,-,,
E.N. CENTRAL,2017,2,1,,3,,8,,1,,7,,3,,11,,20,,6,,28,,,-,9,,20,,,-,27,,,
W.N. CENTRAL,2017,2,,-,1,,5,,,-,,-,,-,2,,7,,,-,6,,,-,2,,7,,,-,8,,,
S. ATLANTIC,2017,2,4,,7,,55,,7,,20,,13,,19,,34,,24,,36,,3,,10,,20,,7,,17,,,
E.S. CENTRAL,2017,2,,-,0,,4,,,-,2,,3,,9,,18,,7,,22,,,-,5,,17,,1,,15,,,
W.S. CENTRAL,2017,2,,-,3,,8,,,-,4,,2,,4,,14,,4,,3,,1,,1,,5,,1,,1,,,
MOUNTAIN,2017,2,1,,2,,5,,2,,6,,,-,1,,4,,1,,5,,2,,2,,7,,2,,8,,,
PACIFIC,2017,2,,-,6,,36,,2,,1,,,-,3,,6,,1,,5,,,-,2,,9,,,-,1,,,
AMER. SAMOA,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
NEW MEXICO,2017,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,,-,6,,"NEW MEXICO
(34.520396, -106.244402)",
OREGON,2017,2,,-,0,,2,,1,,,-,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"OREGON
(44.567912, -120.156945)",
ALASKA,2017,2,,-,0,,1,,1,,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
CALIFORNIA,2017,2,,-,4,,10,,,-,1,,,-,2,,6,,1,,5,,,-,1,,4,,,-,1,,"CALIFORNIA
(37.640735, -121.002435)",
SOUTH DAKOTA,2017,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,"SOUTH DAKOTA
(44.35371, -100.373709)",
SOUTH CAROLINA,2017,2,,-,0,,2,,,-,2,,1,,0,,3,,2,,2,,,-,0,,2,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
DELAWARE,2017,2,,-,0,,1,,,-,,-,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
CONNECTICUT,2017,2,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,3,,"CONNECTICUT
(41.544654, -72.651713)",
FLORIDA,2017,2,1,,2,,7,,3,,5,,11,,11,,17,,18,,14,,2,,4,,9,,3,,9,,"FLORIDA
(28.915325, -81.922409)",
PUERTO RICO,2017,2,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
NEBRASKA,2017,2,,-,0,,4,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,,-,2,,"NEBRASKA
(41.640503, -99.367122)",
KENTUCKY,2017,2,,-,0,,2,,,-,,-,2,,3,,11,,3,,9,,,-,2,,8,,1,,4,,"KENTUCKY
(37.64591, -84.774043)",
MAINE,2017,2,,-,0,,1,,,-,1,,,-,1,,3,,,-,,-,,-,0,,2,,1,,,-,"MAINE
(45.252223, -68.986647)",
MINNESOTA,2017,2,,-,0,,2,,,-,,-,,-,0,,2,,,-,2,,,-,0,,4,,,-,3,,"MINNESOTA
(46.357661, -94.793397)",
LOUISIANA,2017,2,,-,0,,1,,,-,1,,1,,1,,4,,3,,,-,1,,0,,1,,1,,,-,"LOUISIANA
(31.2931, -92.463284)",
MICHIGAN,2017,2,,-,1,,4,,,-,1,,,-,1,,3,,,-,2,,,-,1,,5,,,-,6,,"MICHIGAN
(44.66399, -84.711206)",
MARYLAND,2017,2,,-,0,,5,,,-,2,,,-,0,,3,,1,,1,,,-,0,,3,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
TENNESSEE,2017,2,,-,0,,2,,,-,,-,,-,4,,7,,3,,8,,,-,3,,11,,,-,10,,"TENNESSEE
(35.681402, -85.774444)",
NEW JERSEY,2017,2,,-,1,,4,,,-,3,,,-,0,,3,,,-,2,,,-,1,,4,,,-,3,,"NEW JERSEY
(40.104655, -74.386686)",
C.N.M.I.,2017,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NEVADA,2017,2,,-,0,,2,,,-,,-,,-,0,,2,,,-,1,,,-,0,,3,,,-,,-,"NEVADA
(39.491833, -117.070159)",
DIST. OF COL.,2017,2,,U,0,,0,,,U,,U,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
GUAM,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
WASHINGTON,2017,2,,-,0,,3,,,-,,-,,-,1,,4,,,-,,-,,-,1,,6,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
MONTANA,2017,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"MONTANA
(47.062617, -109.430168)",
WEST VIRGINIA,2017,2,,-,0,,4,,,-,,-,,-,2,,12,,,-,7,,1,,1,,6,,3,,3,,"WEST VIRGINIA
(38.668501, -80.709421)",
TEXAS,2017,2,,-,3,,6,,,-,3,,1,,2,,7,,1,,1,,,-,0,,4,,,-,1,,"TEXAS
(31.827233, -99.423022)",
IOWA,2017,2,,-,0,,2,,,-,,-,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
VIRGINIA,2017,2,3,,2,,40,,3,,2,,,-,1,,5,,,-,2,,,-,1,,4,,1,,1,,"VIRGINIA
(37.542699, -78.45822)",
OKLAHOMA,2017,2,,-,0,,4,,,-,,-,,-,0,,8,,,-,,-,,-,0,,4,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
UTAH,2017,2,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,1,,1,,4,,1,,2,,"UTAH
(39.359772, -111.584173)",
HAWAII,2017,2,,-,0,,33,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
GEORGIA,2017,2,,-,1,,3,,1,,5,,1,,1,,7,,2,,5,,,-,1,,4,,,-,1,,"GEORGIA
(32.836038, -83.631709)",
ARKANSAS,2017,2,,-,0,,3,,,-,,-,,-,1,,5,,,-,2,,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
INDIANA,2017,2,,-,0,,1,,,-,4,,,-,4,,9,,,-,7,,,-,2,,7,,,-,6,,"INDIANA
(39.76845, -86.156212)",
RHODE ISLAND,2017,2,,-,0,,2,,,-,,-,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
KANSAS,2017,2,,-,0,,1,,,-,,-,,-,0,,3,,,-,1,,,-,0,,2,,,-,1,,"KANSAS
(38.345528, -98.201847)",
NEW HAMPSHIRE,2017,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MISSOURI,2017,2,,-,0,,2,,,-,,-,,-,1,,3,,,-,2,,,-,0,,3,,,-,1,,"MISSOURI
(38.636168, -92.566292)",
NORTH DAKOTA,2017,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
WYOMING,2017,2,,-,0,,0,,,-,,-,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
WISCONSIN,2017,2,,-,0,,2,,,-,,-,,-,0,,2,,1,,,-,,-,1,,3,,,-,2,,"WISCONSIN
(44.395526, -89.834513)",
COLORADO,2017,2,,-,0,,2,,1,,,-,,-,0,,2,,1,,,-,,-,0,,3,,,-,,-,"COLORADO
(38.841772, -106.132562)",
OHIO,2017,2,1,,0,,7,,1,,,-,3,,6,,13,,5,,17,,,-,3,,10,,,-,10,,"OHIO
(40.056807, -82.405897)",
IDAHO,2017,2,1,,0,,1,,1,,1,,,-,0,,1,,,-,1,,1,,0,,1,,1,,,-,"IDAHO
(43.680635, -114.364237)",
MISSISSIPPI,2017,2,,-,0,,1,,,-,,-,1,,0,,2,,1,,1,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
VIRGIN ISL.,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
ILLINOIS,2017,2,,-,1,,4,,,-,2,,,-,0,,3,,,-,2,,,-,0,,3,,,-,3,,"ILLINOIS
(40.477092, -88.993221)",
MASSACHUSETTS,2017,2,,-,1,,4,,,-,2,,,-,0,,3,,,-,4,,,-,4,,12,,,-,18,,"MASSACHUSETTS
(42.268546, -72.085064)",
VERMONT,2017,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,,-,0,,1,,,-,1,,"VERMONT
(43.622479, -72.51927)",
ARIZONA,2017,2,,-,1,,3,,,-,4,,,-,0,,2,,,-,3,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
ALABAMA,2017,2,,-,0,,2,,,-,2,,,-,1,,3,,,-,4,,,-,0,,4,,,-,1,,"ALABAMA
(32.839182, -86.631125)",
PENNSYLVANIA,2017,2,,-,1,,3,,,-,2,,1,,1,,3,,1,,1,,,-,3,,9,,,-,8,,"PENNSYLVANIA
(40.789676, -77.858055)",
NORTH CAROLINA,2017,2,,-,1,,5,,,-,4,,,-,2,,6,,,-,5,,,-,1,,4,,,-,3,,"NORTH CAROLINA
(35.47995, -79.180571)",
NEW YORK,2017,2,,-,1,,3,,1,,2,,,-,1,,3,,,-,,-,3,,3,,11,,3,,3,,"NEW YORK
(42.826892, -75.544286)",
UNITED STATES,2017,3,10,,32,,104,,29,,72,,16,,54,,79,,79,,166,,6,,45,,74,,27,,186,,,
NEW ENGLAND,2017,3,,-,2,,5,,,-,5,,2,,1,,3,,4,,7,,,-,7,,18,,1,,42,,,
MID. ATLANTIC,2017,3,2,,4,,10,,5,,10,,2,,4,,7,,4,,6,,2,,7,,17,,5,,27,,,
NEW YORK CITY,2017,3,2,,1,,3,,3,,1,,1,,1,,3,,2,,3,,,-,0,,1,,,-,1,,,
E.N. CENTRAL,2017,3,1,,3,,11,,3,,8,,1,,11,,20,,12,,37,,,-,8,,19,,2,,44,,,
W.N. CENTRAL,2017,3,,-,1,,5,,1,,3,,,-,1,,7,,,-,9,,,-,1,,7,,,-,9,,,
S. ATLANTIC,2017,3,4,,7,,55,,11,,22,,4,,19,,34,,30,,59,,3,,10,,20,,11,,29,,,
E.S. CENTRAL,2017,3,1,,0,,4,,1,,3,,2,,8,,18,,15,,31,,,-,5,,17,,1,,20,,,
W.S. CENTRAL,2017,3,,-,3,,8,,,-,5,,3,,4,,14,,9,,3,,,-,1,,5,,1,,1,,,
MOUNTAIN,2017,3,,-,2,,5,,2,,8,,2,,1,,4,,3,,5,,1,,2,,8,,5,,11,,,
PACIFIC,2017,3,2,,6,,47,,6,,8,,,-,3,,6,,2,,9,,,-,2,,9,,1,,3,,,
AMER. SAMOA,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
MINNESOTA,2017,3,,-,0,,2,,,-,1,,,-,0,,2,,,-,2,,,-,0,,4,,,-,3,,"MINNESOTA
(46.357661, -94.793397)",
NEBRASKA,2017,3,,-,0,,4,,,-,,-,,-,0,,2,,,-,1,,,-,0,,2,,,-,2,,"NEBRASKA
(41.640503, -99.367122)",
SOUTH CAROLINA,2017,3,,-,0,,2,,,-,2,,,-,0,,3,,2,,3,,,-,0,,2,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
DIST. OF COL.,2017,3,,U,0,,0,,,U,,U,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
TEXAS,2017,3,,-,3,,6,,,-,4,,1,,2,,8,,2,,1,,,-,0,,4,,,-,1,,"TEXAS
(31.827233, -99.423022)",
MARYLAND,2017,3,1,,0,,5,,1,,2,,,-,0,,3,,1,,3,,,-,0,,3,,,-,2,,"MARYLAND
(39.290443, -76.612333)",
ILLINOIS,2017,3,,-,1,,4,,,-,3,,,-,0,,3,,,-,3,,,-,0,,3,,,-,5,,"ILLINOIS
(40.477092, -88.993221)",
RHODE ISLAND,2017,3,,-,0,,2,,,-,,-,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
OHIO,2017,3,1,,0,,7,,2,,,-,1,,5,,13,,8,,23,,,-,3,,10,,,-,18,,"OHIO
(40.056807, -82.405897)",
PENNSYLVANIA,2017,3,,-,1,,3,,1,,2,,,-,1,,3,,1,,1,,2,,3,,9,,2,,16,,"PENNSYLVANIA
(40.789676, -77.858055)",
ARIZONA,2017,3,,-,0,,3,,,-,5,,2,,0,,2,,2,,3,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
VIRGIN ISL.,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
CONNECTICUT,2017,3,,-,0,,3,,,-,1,,,-,0,,1,,,-,,-,,-,0,,2,,,-,4,,"CONNECTICUT
(41.544654, -72.651713)",
ALABAMA,2017,3,,-,0,,2,,,-,3,,1,,1,,3,,2,,6,,,-,0,,4,,,-,3,,"ALABAMA
(32.839182, -86.631125)",
