Reporting Area,MMWR Year,MMWR Week,"Spotted Fever Rickettsiosis§, Confirmed, Current week","Spotted Fever Rickettsiosis§, Confirmed, Current week, flag","Spotted Fever Rickettsiosis§, Confirmed, Previous 52 weeks Med","Spotted Fever Rickettsiosis§, Confirmed, Previous 52 weeks Med, flag","Spotted Fever Rickettsiosis§, Confirmed, Previous 52 weeks Max","Spotted Fever Rickettsiosis§, Confirmed, Previous 52 weeks Max, flag","Spotted Fever Rickettsiosis§, Confirmed, Cum 2017","Spotted Fever Rickettsiosis§, Confirmed, Cum 2017, flag","Spotted Fever Rickettsiosis§, Confirmed, Cum 2016","Spotted Fever Rickettsiosis§, Confirmed, Cum 2016, flag","Spotted Fever Rickettsiosis§, Probable, Current week","Spotted Fever Rickettsiosis§, Probable, Current week, flag","Spotted Fever Rickettsiosis§, Probable, Previous 52 weeks Med","Spotted Fever Rickettsiosis§, Probable, Previous 52 weeks Med, flag","Spotted Fever Rickettsiosis§, Probable, Previous 52 weeks Max","Spotted Fever Rickettsiosis§, Probable, Previous 52 weeks Max, flag","Spotted Fever Rickettsiosis§, Probable, Cum 2017","Spotted Fever Rickettsiosis§, Probable, Cum 2017, flag","Spotted Fever Rickettsiosis§, Probable, Cum 2016","Spotted Fever Rickettsiosis§, Probable, Cum 2016, flag","Syphilis, primary and secondary, Current week","Syphilis, primary and secondary, Current week, flag","Syphilis, primary and secondary, Previous 52 weeks Med","Syphilis, primary and secondary, Previous 52 weeks Med, flag","Syphilis, primary and secondary, Previous 52 weeks Max","Syphilis, primary and secondary, Previous 52 weeks Max, flag","Syphilis, primary and secondary, Cum 2017","Syphilis, primary and secondary, Cum 2017, flag","Syphilis, primary and secondary, Cum 2016","Syphilis, primary and secondary, Cum 2016, flag",Location 1,Location 2
NEW MEXICO,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,10,,,-,7,,"NEW MEXICO
(34.520396, -106.244402)",
IOWA,2017,2,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,1,,4,,,-,4,,"IOWA
(42.46942, -93.815856)",
HAWAII,2017,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,1,,6,,,-,4,,"HAWAII
(21.30992, -157.858158)",
MASSACHUSETTS,2017,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,8,,17,,,-,19,,"MASSACHUSETTS
(42.268546, -72.085064)",
ALABAMA,2017,2,,-,0,,1,,,-,,-,,-,7,,24,,,-,3,,1,,9,,28,,3,,16,,"ALABAMA
(32.839182, -86.631125)",
MISSOURI,2017,2,,-,0,,1,,,-,,-,,-,4,,22,,,-,,-,,-,7,,16,,1,,21,,"MISSOURI
(38.636168, -92.566292)",
NORTH CAROLINA,2017,2,,-,0,,2,,,-,,-,,-,7,,28,,,-,,-,,-,20,,28,,2,,48,,"NORTH CAROLINA
(35.47995, -79.180571)",
VERMONT,2017,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,"VERMONT
(43.622479, -72.51927)",
GEORGIA,2017,2,,-,1,,8,,1,,2,,,-,0,,0,,,-,,-,,-,25,,50,,,-,71,,"GEORGIA
(32.836038, -83.631709)",
OHIO,2017,2,,-,0,,1,,,-,,-,,-,0,,4,,,-,,-,,-,14,,22,,,-,24,,"OHIO
(40.056807, -82.405897)",
TEXAS,2017,2,,-,0,,1,,,-,,-,,-,1,,6,,,-,,-,35,,38,,55,,74,,81,,"TEXAS
(31.827233, -99.423022)",
MINNESOTA,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,5,,10,,,-,16,,"MINNESOTA
(46.357661, -94.793397)",
KANSAS,2017,2,,-,0,,1,,,-,,-,,-,1,,10,,,-,,-,,-,2,,6,,,-,2,,"KANSAS
(38.345528, -98.201847)",
VIRGINIA,2017,2,,-,0,,1,,,-,,-,,-,4,,19,,,-,1,,,-,3,,41,,,-,14,,"VIRGINIA
(37.542699, -78.45822)",
OKLAHOMA,2017,2,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,3,,12,,,-,8,,"OKLAHOMA
(35.468494, -97.521264)",
PENNSYLVANIA,2017,2,,-,0,,1,,,-,,-,,-,0,,3,,,-,1,,4,,14,,24,,10,,33,,"PENNSYLVANIA
(40.789676, -77.858055)",
CONNECTICUT,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,7,,,-,6,,"CONNECTICUT
(41.544654, -72.651713)",
DIST. OF COL.,2017,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,2,,7,,,-,11,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
NEW YORK,2017,2,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,2,,10,,19,,3,,5,,"NEW YORK
(42.826892, -75.544286)",
NEW HAMPSHIRE,2017,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,1,,1,,11,,2,,3,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
ILLINOIS,2017,2,,-,0,,1,,,-,,-,,-,1,,7,,,-,,-,,-,16,,25,,,-,44,,"ILLINOIS
(40.477092, -88.993221)",
WEST VIRGINIA,2017,2,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,1,,4,,,-,1,,"WEST VIRGINIA
(38.668501, -80.709421)",
ALASKA,2017,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,"ALASKA
(64.836661, -147.738891)",
ARKANSAS,2017,2,,-,0,,1,,,-,,-,,-,8,,75,,,-,1,,,-,2,,11,,,-,5,,"ARKANSAS
(34.748745, -92.275105)",
IDAHO,2017,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,1,,5,,,-,3,,"IDAHO
(43.680635, -114.364237)",
MARYLAND,2017,2,,-,0,,2,,,-,,-,,-,0,,6,,,-,,-,,-,8,,22,,,-,18,,"MARYLAND
(39.290443, -76.612333)",
NEVADA,2017,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,8,,21,,3,,5,,"NEVADA
(39.491833, -117.070159)",
COLORADO,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,4,,14,,1,,7,,"COLORADO
(38.841772, -106.132562)",
NEW JERSEY,2017,2,,-,0,,1,,,-,,-,,-,1,,8,,,-,,-,,-,8,,16,,,-,21,,"NEW JERSEY
(40.104655, -74.386686)",
WISCONSIN,2017,2,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,2,,6,,2,,4,,"WISCONSIN
(44.395526, -89.834513)",
UTAH,2017,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,6,,,-,4,,"UTAH
(39.359772, -111.584173)",
WASHINGTON,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,8,,9,,21,,11,,15,,"WASHINGTON
(47.517368, -120.467672)",
OREGON,2017,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,6,,15,,3,,13,,"OREGON
(44.567912, -120.156945)",
CALIFORNIA,2017,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,25,,104,,129,,49,,208,,"CALIFORNIA
(37.640735, -121.002435)",
LOUISIANA,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,12,,30,,,-,11,,"LOUISIANA
(31.2931, -92.463284)",
FLORIDA,2017,2,,-,0,,1,,,-,,-,,-,0,,2,,1,,,-,,-,45,,66,,2,,57,,"FLORIDA
(28.915325, -81.922409)",
ARIZONA,2017,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,2,,12,,22,,5,,16,,"ARIZONA
(34.869712, -111.760902)",
SOUTH CAROLINA,2017,2,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,4,,5,,15,,8,,23,,"SOUTH CAROLINA
(34.009286, -81.037094)",
KENTUCKY,2017,2,,-,0,,2,,,-,,-,,-,2,,11,,,-,3,,,-,3,,12,,,-,2,,"KENTUCKY
(37.64591, -84.774043)",
MISSISSIPPI,2017,2,,-,0,,0,,,-,,-,,-,1,,7,,,-,,-,,-,5,,13,,1,,10,,"MISSISSIPPI
(32.738663, -89.537312)",
PUERTO RICO,2017,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,8,,26,,,-,18,,"PUERTO RICO
(18.215692, -66.414655)",
SOUTH DAKOTA,2017,2,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,,-,2,,"SOUTH DAKOTA
(44.35371, -100.373709)",
TENNESSEE,2017,2,,-,0,,1,,,-,1,,,-,10,,40,,,-,4,,,-,6,,15,,,-,19,,"TENNESSEE
(35.681402, -85.774444)",
GUAM,2017,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
VIRGIN ISL.,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
WYOMING,2017,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
NEBRASKA,2017,2,,-,0,,0,,,-,,-,,-,0,,4,,,-,,-,,-,1,,6,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
INDIANA,2017,2,,-,0,,0,,,-,,-,,-,0,,6,,,-,,-,,-,6,,12,,1,,12,,"INDIANA
(39.76845, -86.156212)",
C.N.M.I.,2017,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
RHODE ISLAND,2017,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,7,,,-,5,,"RHODE ISLAND
(41.707447, -71.522488)",
DELAWARE,2017,2,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,,-,0,,7,,,-,10,,"DELAWARE
(39.008676, -75.574561)",
MONTANA,2017,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,2,,"MONTANA
(47.062617, -109.430168)",
UNITED STATES,2017,3,,-,2,,11,,1,,6,,3,,58,,216,,7,,26,,80,,498,,596,,420,,1501,,,
NEW ENGLAND,2017,3,,-,0,,0,,,-,,-,,-,0,,2,,1,,,-,1,,14,,29,,4,,53,,,
MID. ATLANTIC,2017,3,,-,0,,1,,,-,,-,1,,2,,13,,1,,2,,14,,66,,91,,59,,188,,,
NEW YORK CITY,2017,3,,-,0,,0,,,-,,-,,-,0,,3,,,-,1,,1,,33,,47,,24,,113,,,
E.N. CENTRAL,2017,3,,-,0,,2,,,-,,-,,-,2,,15,,,-,1,,2,,45,,58,,18,,148,,,
W.N. CENTRAL,2017,3,,-,0,,2,,,-,,-,,-,8,,28,,,-,,-,1,,19,,32,,6,,62,,,
S. ATLANTIC,2017,3,,-,1,,10,,1,,5,,,-,17,,44,,2,,5,,4,,118,,161,,43,,385,,,
E.S. CENTRAL,2017,3,,-,0,,4,,,-,1,,1,,21,,65,,1,,15,,2,,22,,38,,10,,65,,,
W.S. CENTRAL,2017,3,,-,0,,1,,,-,,-,1,,9,,80,,2,,1,,24,,58,,77,,110,,156,,,
MOUNTAIN,2017,3,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,2,,31,,54,,20,,82,,,
PACIFIC,2017,3,,-,0,,1,,,-,,-,,-,0,,2,,,-,2,,30,,123,,155,,150,,362,,,
AMER. SAMOA,2017,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,
ALASKA,2017,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,"ALASKA
(64.836661, -147.738891)",
NORTH DAKOTA,2017,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
NEBRASKA,2017,3,,-,0,,0,,,-,,-,,-,0,,4,,,-,,-,,-,1,,6,,1,,,-,"NEBRASKA
(41.640503, -99.367122)",
NEW YORK,2017,3,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,7,,10,,19,,11,,8,,"NEW YORK
(42.826892, -75.544286)",
OHIO,2017,3,,-,0,,1,,,-,,-,,-,0,,4,,,-,,-,,-,13,,22,,7,,41,,"OHIO
(40.056807, -82.405897)",
WEST VIRGINIA,2017,3,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,1,,4,,,-,1,,"WEST VIRGINIA
(38.668501, -80.709421)",
MONTANA,2017,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,3,,"MONTANA
(47.062617, -109.430168)",
IOWA,2017,3,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,1,,4,,,-,5,,"IOWA
(42.46942, -93.815856)",
ALABAMA,2017,3,,-,0,,1,,,-,,-,1,,7,,24,,1,,4,,,-,5,,14,,3,,17,,"ALABAMA
(32.839182, -86.631125)",
VIRGINIA,2017,3,,-,0,,1,,,-,,-,,-,4,,19,,,-,2,,,-,3,,41,,,-,16,,"VIRGINIA
(37.542699, -78.45822)",
WASHINGTON,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,13,,9,,21,,24,,25,,"WASHINGTON
(47.517368, -120.467672)",
OKLAHOMA,2017,3,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,3,,12,,,-,15,,"OKLAHOMA
(35.468494, -97.521264)",
WYOMING,2017,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
