Reporting Area,MMWR Year,MMWR Week,"Invasive Pneumococcal Disease§, All ages, Confirmed, Current week","Invasive Pneumococcal Disease§, All ages, Confirmed, Current week, flag","Invasive Pneumococcal Disease§, All ages, Confirmed, Previous 52 weeks Med","Invasive Pneumococcal Disease§, All ages, Confirmed, Previous 52 weeks Med, flag","Invasive Pneumococcal Disease§, All ages, Confirmed, Previous 52 weeks Max","Invasive Pneumococcal Disease§, All ages, Confirmed, Previous 52 weeks Max, flag","Invasive Pneumococcal Disease§, All ages, Confirmed, Cum 2017","Invasive Pneumococcal Disease§, All ages, Confirmed, Cum 2017, flag","Invasive Pneumococcal Disease§, All ages, Confirmed, Cum 2016","Invasive Pneumococcal Disease§, All ages, Confirmed, Cum 2016, flag","Invasive Pneumococcal Disease§, All ages, Probable, Current week","Invasive Pneumococcal Disease§, All ages, Probable, Current week, flag","Invasive Pneumococcal Disease§, All ages, Probable, Previous 52 weeks Med","Invasive Pneumococcal Disease§, All ages, Probable, Previous 52 weeks Med, flag","Invasive Pneumococcal Disease§, All ages, Probable, Previous 52 weeks Max","Invasive Pneumococcal Disease§, All ages, Probable, Previous 52 weeks Max, flag","Invasive Pneumococcal Disease§, All ages, Probable, Cum 2017","Invasive Pneumococcal Disease§, All ages, Probable, Cum 2017, flag","Invasive Pneumococcal Disease§, All ages, Probable, Cum 2016","Invasive Pneumococcal Disease§, All ages, Probable, Cum 2016, flag",Location 1,Location 2
HAWAII,2017,1,,-,2,,5,,,-,1,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
MICHIGAN,2017,1,2,,14,,46,,2,,46,,,-,0,,1,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
PUERTO RICO,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
WYOMING,2017,1,,-,0,,3,,,-,2,,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
ILLINOIS,2017,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
MONTANA,2017,1,,-,1,,6,,,-,4,,,-,0,,1,,,-,1,,"MONTANA
(47.062617, -109.430168)",
COLORADO,2017,1,14,,0,,0,,14,,,-,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
NEW JERSEY,2017,1,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
CONNECTICUT,2017,1,,-,4,,9,,,-,6,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
NEBRASKA,2017,1,5,,3,,8,,5,,7,,,-,0,,1,,,-,1,,"NEBRASKA
(41.640503, -99.367122)",
FLORIDA,2017,1,26,,10,,59,,26,,29,,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
WISCONSIN,2017,1,11,,6,,22,,11,,22,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
NEW HAMPSHIRE,2017,1,2,,2,,6,,2,,6,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MISSOURI,2017,1,,-,4,,11,,,-,9,,,-,0,,1,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
MAINE,2017,1,3,,2,,9,,3,,4,,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
SOUTH CAROLINA,2017,1,20,,7,,36,,20,,16,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
VIRGINIA,2017,1,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
TENNESSEE,2017,1,18,,17,,35,,18,,32,,,-,0,,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
LOUISIANA,2017,1,2,,4,,16,,2,,3,,,-,0,,1,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
OREGON,2017,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OREGON
(44.567912, -120.156945)",
ALABAMA,2017,1,6,,6,,25,,6,,16,,,-,0,,1,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
MASSACHUSETTS,2017,1,,-,10,,20,,,-,14,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
NORTH CAROLINA,2017,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
C.N.M.I.,2017,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
IDAHO,2017,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
GEORGIA,2017,1,3,,17,,38,,3,,35,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
RHODE ISLAND,2017,1,,-,0,,7,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
ALASKA,2017,1,1,,2,,8,,1,,4,,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
NEVADA,2017,1,,-,3,,10,,,-,10,,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
NEW MEXICO,2017,1,2,,5,,15,,2,,8,,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
ARIZONA,2017,1,27,,11,,37,,27,,29,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
KENTUCKY,2017,1,11,,4,,11,,11,,10,,,-,0,,1,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
WASHINGTON,2017,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
INDIANA,2017,1,1,,10,,30,,1,,18,,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
GUAM,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
KANSAS,2017,1,,-,4,,9,,,-,4,,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
IOWA,2017,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
MINNESOTA,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
MARYLAND,2017,1,2,,8,,22,,2,,17,,,-,0,,1,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
TEXAS,2017,1,4,,28,,76,,4,,17,,,-,0,,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
OKLAHOMA,2017,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
SOUTH DAKOTA,2017,1,5,,2,,9,,5,,4,,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
VIRGIN ISL.,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
UNITED STATES,2017,2,259,,292,,507,,596,,889,,,-,0,,2,,2,,3,,,
NEW ENGLAND,2017,2,5,,20,,39,,12,,62,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2017,2,34,,41,,79,,85,,99,,,-,0,,1,,1,,,-,,
NEW YORK CITY,2017,2,27,,13,,23,,48,,32,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,2,73,,50,,98,,143,,183,,,-,0,,1,,1,,,-,,
W.N. CENTRAL,2017,2,1,,15,,32,,12,,42,,,-,0,,1,,,-,1,,,
S. ATLANTIC,2017,2,51,,53,,123,,137,,185,,,-,0,,1,,,-,1,,,
E.S. CENTRAL,2017,2,33,,34,,69,,81,,107,,,-,0,,1,,,-,,-,,
W.S. CENTRAL,2017,2,22,,37,,107,,34,,63,,,-,0,,1,,,-,,-,,
MOUNTAIN,2017,2,40,,34,,82,,91,,139,,,-,0,,1,,,-,1,,,
PACIFIC,2017,2,,-,4,,10,,1,,9,,,-,0,,0,,,-,,-,,
AMER. SAMOA,2017,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,
MONTANA,2017,2,1,,1,,6,,1,,5,,,-,0,,1,,,-,1,,"MONTANA
(47.062617, -109.430168)",
MISSOURI,2017,2,,-,4,,11,,,-,13,,,-,0,,1,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
VIRGIN ISL.,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
DIST. OF COL.,2017,2,2,,1,,4,,2,,,-,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
NEW YORK,2017,2,,-,17,,33,,19,,36,,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
ARIZONA,2017,2,19,,11,,37,,46,,59,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
MISSISSIPPI,2017,2,1,,5,,12,,2,,20,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
WYOMING,2017,2,,-,0,,3,,,-,4,,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
FLORIDA,2017,2,9,,10,,59,,32,,52,,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
HAWAII,2017,2,,-,2,,5,,,-,3,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
NEW HAMPSHIRE,2017,2,,-,2,,6,,3,,8,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
VERMONT,2017,2,2,,1,,10,,2,,6,,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
TEXAS,2017,2,15,,28,,82,,20,,50,,,-,0,,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
ARKANSAS,2017,2,3,,4,,16,,6,,5,,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
IOWA,2017,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
NEBRASKA,2017,2,1,,3,,8,,7,,15,,,-,0,,1,,,-,1,,"NEBRASKA
(41.640503, -99.367122)",
OREGON,2017,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OREGON
(44.567912, -120.156945)",
C.N.M.I.,2017,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MICHIGAN,2017,2,2,,14,,29,,12,,63,,,-,0,,1,,1,,,-,"MICHIGAN
(44.66399, -84.711206)",
SOUTH DAKOTA,2017,2,,-,2,,9,,5,,4,,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
CALIFORNIA,2017,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"CALIFORNIA
(37.640735, -121.002435)",
RHODE ISLAND,2017,2,,-,1,,7,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
VIRGINIA,2017,2,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
CONNECTICUT,2017,2,,-,4,,9,,1,,13,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
SOUTH CAROLINA,2017,2,18,,7,,38,,44,,23,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
UTAH,2017,2,2,,4,,10,,4,,12,,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
ALABAMA,2017,2,5,,6,,25,,13,,22,,,-,0,,1,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
DELAWARE,2017,2,,-,1,,4,,4,,7,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
NORTH CAROLINA,2017,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
PUERTO RICO,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
MASSACHUSETTS,2017,2,,-,10,,20,,,-,25,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
COLORADO,2017,2,16,,10,,23,,30,,23,,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
MARYLAND,2017,2,15,,8,,22,,32,,33,,,-,0,,1,,,-,1,,"MARYLAND
(39.290443, -76.612333)",
IDAHO,2017,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
NORTH DAKOTA,2017,2,,-,1,,5,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
MAINE,2017,2,3,,2,,9,,6,,10,,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
OKLAHOMA,2017,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
NEW JERSEY,2017,2,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
NEW MEXICO,2017,2,1,,5,,15,,8,,17,,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
PENNSYLVANIA,2017,2,7,,9,,24,,18,,30,,,-,0,,1,,1,,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
MINNESOTA,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
KENTUCKY,2017,2,4,,4,,11,,15,,17,,,-,0,,1,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
GEORGIA,2017,2,6,,16,,38,,17,,56,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
GUAM,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
WASHINGTON,2017,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
LOUISIANA,2017,2,4,,5,,16,,8,,8,,,-,0,,1,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
NEVADA,2017,2,1,,3,,9,,2,,19,,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
TENNESSEE,2017,2,23,,17,,37,,51,,48,,,-,0,,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
KANSAS,2017,2,,-,4,,9,,,-,10,,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
ILLINOIS,2017,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
WEST VIRGINIA,2017,2,1,,4,,17,,6,,14,,,-,0,,1,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
ALASKA,2017,2,,-,2,,8,,1,,6,,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
INDIANA,2017,2,,-,9,,30,,1,,29,,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
WISCONSIN,2017,2,17,,6,,18,,33,,28,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
OHIO,2017,2,54,,18,,43,,97,,63,,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
UNITED STATES,2017,3,183,,296,,508,,925,,1220,,,-,0,,2,,2,,3,,,
NEW ENGLAND,2017,3,1,,20,,39,,58,,81,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2017,3,49,,41,,80,,144,,148,,,-,0,,1,,1,,,-,,
NEW YORK CITY,2017,3,24,,13,,27,,72,,47,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,3,24,,52,,98,,178,,248,,,-,0,,1,,1,,,-,,
W.N. CENTRAL,2017,3,3,,15,,32,,27,,59,,,-,0,,1,,,-,1,,,
S. ATLANTIC,2017,3,32,,54,,123,,193,,241,,,-,0,,1,,,-,1,,,
E.S. CENTRAL,2017,3,21,,34,,69,,120,,136,,,-,0,,1,,,-,,-,,
W.S. CENTRAL,2017,3,24,,37,,125,,71,,104,,,-,0,,1,,,-,,-,,
MOUNTAIN,2017,3,26,,35,,78,,126,,189,,,-,0,,1,,,-,1,,,
PACIFIC,2017,3,3,,4,,10,,8,,14,,,-,0,,0,,,-,,-,,
AMER. SAMOA,2017,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,
MINNESOTA,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
MONTANA,2017,3,1,,1,,6,,2,,6,,,-,0,,1,,,-,1,,"MONTANA
(47.062617, -109.430168)",
ARIZONA,2017,3,17,,11,,37,,66,,72,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
DIST. OF COL.,2017,3,,-,1,,4,,2,,,-,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
NORTH CAROLINA,2017,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
SOUTH CAROLINA,2017,3,7,,7,,39,,66,,28,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
CALIFORNIA,2017,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"CALIFORNIA
(37.640735, -121.002435)",
OREGON,2017,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OREGON
(44.567912, -120.156945)",
LOUISIANA,2017,3,9,,5,,16,,18,,15,,,-,0,,1,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
KANSAS,2017,3,,-,4,,9,,7,,16,,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
IOWA,2017,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
NEW MEXICO,2017,3,,-,4,,15,,12,,19,,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
C.N.M.I.,2017,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
VERMONT,2017,3,,-,1,,10,,3,,7,,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
IDAHO,2017,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
NEVADA,2017,3,,-,3,,9,,4,,27,,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
GEORGIA,2017,3,5,,15,,38,,28,,77,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
HAWAII,2017,3,1,,1,,5,,3,,4,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
ILLINOIS,2017,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
WASHINGTON,2017,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
NEBRASKA,2017,3,2,,3,,8,,9,,21,,,-,0,,1,,,-,1,,"NEBRASKA
(41.640503, -99.367122)",
VIRGIN ISL.,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
KENTUCKY,2017,3,4,,4,,11,,19,,19,,,-,0,,1,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
ALASKA,2017,3,2,,2,,8,,5,,10,,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
WISCONSIN,2017,3,7,,6,,19,,45,,34,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
PUERTO RICO,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
ARKANSAS,2017,3,2,,4,,17,,10,,8,,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
GUAM,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
WEST VIRGINIA,2017,3,,-,4,,17,,7,,19,,,-,0,,1,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
OHIO,2017,3,17,,18,,54,,114,,96,,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
MISSISSIPPI,2017,3,,-,5,,12,,5,,25,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
MICHIGAN,2017,3,,-,13,,29,,12,,79,,,-,0,,1,,1,,,-,"MICHIGAN
(44.66399, -84.711206)",
WYOMING,2017,3,,-,0,,3,,,-,5,,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
NEW YORK,2017,3,16,,17,,42,,39,,55,,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
DELAWARE,2017,3,1,,1,,5,,6,,9,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
COLORADO,2017,3,7,,10,,19,,37,,42,,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
RHODE ISLAND,2017,3,,-,1,,7,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
TEXAS,2017,3,13,,28,,98,,43,,81,,,-,0,,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
MISSOURI,2017,3,,-,4,,11,,,-,16,,,-,0,,1,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
CONNECTICUT,2017,3,,-,4,,10,,1,,17,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
OKLAHOMA,2017,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
TENNESSEE,2017,3,12,,17,,37,,74,,65,,,-,0,,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
UTAH,2017,3,1,,4,,10,,5,,18,,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
MARYLAND,2017,3,11,,8,,22,,44,,44,,,-,0,,0,,,-,1,,"MARYLAND
(39.290443, -76.612333)",
NORTH DAKOTA,2017,3,1,,1,,5,,6,,1,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
PENNSYLVANIA,2017,3,9,,9,,24,,33,,45,,,-,0,,1,,1,,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
SOUTH DAKOTA,2017,3,,-,2,,9,,5,,5,,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
MAINE,2017,3,,-,2,,9,,9,,13,,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
MASSACHUSETTS,2017,3,,-,11,,24,,38,,36,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
FLORIDA,2017,3,8,,10,,59,,40,,63,,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
ALABAMA,2017,3,5,,7,,25,,22,,27,,,-,0,,1,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
INDIANA,2017,3,,-,10,,30,,7,,39,,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
VIRGINIA,2017,3,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
NEW JERSEY,2017,3,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
