Reporting Area,MMWR Year,MMWR Week,"West Nile virus disease§, Neuroinvasive Current week","West Nile virus disease§, Neuroinvasive Current week, flag ","West Nile virus disease§, Neuroinvasive Previous 52 weeks Med","West Nile virus disease§, Neuroinvasive Previous 52 weeks Med, flag","West Nile virus disease§, Neuroinvasive Previous 52 weeks Max","West Nile virus disease§, Neuroinvasive Previous 52 weeks Max, flag","West Nile virus disease§, Neuroinvasive Cum 2017","West Nile virus disease§, Neuroinvasive Cum 2017, flag","West Nile virus disease§, Neuroinvasive Cum 2016","West Nile virus disease§, Neuroinvasive Cum 2016, flag","West Nile virus disease§, Nonneuroinvasive Current week","West Nile virus disease§, Nonneuroinvasiveś Current week, flag","West Nile virus disease§, Nonneuroinvasiveś Previous 52 weeks Med","West Nile virus disease§, Nonneuroinvasiveś Previous 52 weeks Med, flag","West Nile virus disease§, Nonneuroinvasiveś Previous 52 weeks Max","West Nile virus disease§, Nonneuroinvasiveś Previous 52 weeks Max, flag","West Nile virus disease§, Nonneuroinvasiveś Cum 2017","West Nile virus disease§, Nonneuroinvasiveś Cum 2017, flag","West Nile virus disease§, Nonneuroinvasiveś Cum 2016","West Nile virus disease§, Nonneuroinvasiveś Cum 2016, flag",Location 1,Location 2
KENTUCKY,2017,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
NEW JERSEY,2017,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
NORTH CAROLINA,2017,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
NEW HAMPSHIRE,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
IDAHO,2017,1,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"IDAHO
(43.680635, -114.364237)",
DELAWARE,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
MASSACHUSETTS,2017,1,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
IOWA,2017,1,,-,0,,3,,,-,,-,,-,0,,5,,,-,,-,"IOWA
(42.46942, -93.815856)",
OKLAHOMA,2017,1,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
CONNECTICUT,2017,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
MARYLAND,2017,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
ALABAMA,2017,1,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
ARKANSAS,2017,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
MAINE,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
COLORADO,2017,1,,-,0,,9,,,-,,-,,-,0,,16,,,-,,-,"COLORADO
(38.841772, -106.132562)",
ALASKA,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
KANSAS,2017,1,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"KANSAS
(38.345528, -98.201847)",
GUAM,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
NEVADA,2017,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
SOUTH DAKOTA,2017,1,,-,0,,8,,,-,,-,,-,0,,16,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
OREGON,2017,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"OREGON
(44.567912, -120.156945)",
VERMONT,2017,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
NORTH DAKOTA,2017,1,,-,0,,3,,,-,,-,,-,0,,10,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
TENNESSEE,2017,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
INDIANA,2017,1,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,"INDIANA
(39.76845, -86.156212)",
NEW MEXICO,2017,1,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
UTAH,2017,1,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"UTAH
(39.359772, -111.584173)",
MISSISSIPPI,2017,1,,-,0,,4,,,-,,-,,-,0,,2,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
C.N.M.I.,2017,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
GEORGIA,2017,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
RHODE ISLAND,2017,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
VIRGINIA,2017,1,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
WASHINGTON,2017,1,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
LOUISIANA,2017,1,,-,0,,6,,,-,,-,,-,0,,3,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
WYOMING,2017,1,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"WYOMING
(43.23558, -108.110518)",
UNITED STATES,2017,2,,-,8,,102,,,-,,-,,-,5,,111,,,-,,-,,
NEW ENGLAND,2017,2,,-,0,,3,,,-,,-,,-,0,,3,,,-,,-,,
MID. ATLANTIC,2017,2,,-,0,,6,,,-,,-,,-,0,,4,,,-,,-,,
NEW YORK CITY,2017,2,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,2,,-,0,,17,,,-,,-,,-,0,,29,,,-,,-,,
W.N. CENTRAL,2017,2,,-,0,,15,,,-,,-,,-,0,,47,,,-,,-,,
S. ATLANTIC,2017,2,,-,0,,6,,,-,,-,,-,0,,2,,,-,,-,,
E.S. CENTRAL,2017,2,,-,0,,4,,,-,,-,,-,0,,4,,,-,,-,,
W.S. CENTRAL,2017,2,,-,2,,20,,,-,,-,,-,1,,12,,,-,,-,,
MOUNTAIN,2017,2,,-,0,,17,,,-,,-,,-,0,,23,,,-,,-,,
PACIFIC,2017,2,,-,0,,42,,,-,,-,,-,0,,24,,,-,,-,,
AMER. SAMOA,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
WASHINGTON,2017,2,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
IDAHO,2017,2,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"IDAHO
(43.680635, -114.364237)",
MAINE,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
MONTANA,2017,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"MONTANA
(47.062617, -109.430168)",
NEW MEXICO,2017,2,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
NEW HAMPSHIRE,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
INDIANA,2017,2,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,"INDIANA
(39.76845, -86.156212)",
MARYLAND,2017,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
WISCONSIN,2017,2,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
GUAM,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
SOUTH DAKOTA,2017,2,,-,0,,8,,,-,,-,,-,0,,16,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
VIRGINIA,2017,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
PENNSYLVANIA,2017,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
DIST. OF COL.,2017,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
KENTUCKY,2017,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
RHODE ISLAND,2017,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
MICHIGAN,2017,2,,-,0,,10,,,-,,-,,-,0,,1,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
PUERTO RICO,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
NEW YORK,2017,2,,-,0,,0,,,-,,-,,-,0,,4,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
NEVADA,2017,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
COLORADO,2017,2,,-,0,,9,,,-,,-,,-,0,,16,,,-,,-,"COLORADO
(38.841772, -106.132562)",
SOUTH CAROLINA,2017,2,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
TEXAS,2017,2,,-,1,,18,,,-,,-,,-,0,,10,,,-,,-,"TEXAS
(31.827233, -99.423022)",
OKLAHOMA,2017,2,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
DELAWARE,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
ARKANSAS,2017,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
GEORGIA,2017,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
ALABAMA,2017,2,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
NEW JERSEY,2017,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
NEBRASKA,2017,2,,-,0,,7,,,-,,-,,-,0,,7,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
MISSISSIPPI,2017,2,,-,0,,4,,,-,,-,,-,0,,2,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
CONNECTICUT,2017,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
HAWAII,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
ALASKA,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
KANSAS,2017,2,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"KANSAS
(38.345528, -98.201847)",
VERMONT,2017,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
MASSACHUSETTS,2017,2,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
VIRGIN ISL.,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
TENNESSEE,2017,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
IOWA,2017,2,,-,0,,3,,,-,,-,,-,0,,5,,,-,,-,"IOWA
(42.46942, -93.815856)",
OREGON,2017,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"OREGON
(44.567912, -120.156945)",
NORTH DAKOTA,2017,2,,-,0,,3,,,-,,-,,-,0,,10,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
FLORIDA,2017,2,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
OHIO,2017,2,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"OHIO
(40.056807, -82.405897)",
ILLINOIS,2017,2,,-,0,,0,,,-,,-,,-,0,,27,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
WEST VIRGINIA,2017,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
C.N.M.I.,2017,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
WYOMING,2017,2,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"WYOMING
(43.23558, -108.110518)",
LOUISIANA,2017,2,,-,0,,6,,,-,,-,,-,0,,3,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
NORTH CAROLINA,2017,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
CALIFORNIA,2017,2,,-,0,,41,,,-,,-,,-,0,,23,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
UTAH,2017,2,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"UTAH
(39.359772, -111.584173)",
MISSOURI,2017,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
ARIZONA,2017,2,,-,0,,6,,,-,,-,,-,0,,3,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
MINNESOTA,2017,2,,-,0,,3,,,-,,-,,-,0,,13,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
UNITED STATES,2017,3,,-,8,,102,,,-,,-,,-,5,,111,,,-,,-,,
NEW ENGLAND,2017,3,,-,0,,3,,,-,,-,,-,0,,3,,,-,,-,,
MID. ATLANTIC,2017,3,,-,0,,6,,,-,,-,,-,0,,4,,,-,,-,,
NEW YORK CITY,2017,3,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,3,,-,0,,17,,,-,,-,,-,0,,29,,,-,,-,,
W.N. CENTRAL,2017,3,,-,0,,15,,,-,,-,,-,0,,47,,,-,,-,,
S. ATLANTIC,2017,3,,-,0,,6,,,-,,-,,-,0,,2,,,-,,-,,
E.S. CENTRAL,2017,3,,-,0,,4,,,-,,-,,-,0,,4,,,-,,-,,
W.S. CENTRAL,2017,3,,-,2,,20,,,-,,-,,-,1,,12,,,-,,-,,
MOUNTAIN,2017,3,,-,0,,17,,,-,,-,,-,0,,23,,,-,,-,,
PACIFIC,2017,3,,-,0,,42,,,-,,-,,-,0,,24,,,-,,-,,
AMER. SAMOA,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
GEORGIA,2017,3,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
ALASKA,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
TENNESSEE,2017,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
MASSACHUSETTS,2017,3,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
SOUTH DAKOTA,2017,3,,-,0,,8,,,-,,-,,-,0,,16,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
GUAM,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
DIST. OF COL.,2017,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
LOUISIANA,2017,3,,-,0,,6,,,-,,-,,-,0,,3,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
KANSAS,2017,3,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"KANSAS
(38.345528, -98.201847)",
KENTUCKY,2017,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
NEBRASKA,2017,3,,-,0,,7,,,-,,-,,-,0,,7,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
COLORADO,2017,3,,-,0,,9,,,-,,-,,-,0,,16,,,-,,-,"COLORADO
(38.841772, -106.132562)",
NEW YORK,2017,3,,-,0,,0,,,-,,-,,-,0,,4,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
VERMONT,2017,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
ARIZONA,2017,3,,-,0,,6,,,-,,-,,-,0,,3,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
NEVADA,2017,3,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
INDIANA,2017,3,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,"INDIANA
(39.76845, -86.156212)",
SOUTH CAROLINA,2017,3,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
WISCONSIN,2017,3,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
NEW MEXICO,2017,3,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
RHODE ISLAND,2017,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
NORTH CAROLINA,2017,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
ILLINOIS,2017,3,,-,0,,0,,,-,,-,,-,0,,27,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
DELAWARE,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
PENNSYLVANIA,2017,3,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
MAINE,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
WASHINGTON,2017,3,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
OREGON,2017,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"OREGON
(44.567912, -120.156945)",
IOWA,2017,3,,-,0,,3,,,-,,-,,-,0,,5,,,-,,-,"IOWA
(42.46942, -93.815856)",
MONTANA,2017,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"MONTANA
(47.062617, -109.430168)",
C.N.M.I.,2017,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NEW JERSEY,2017,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
NORTH DAKOTA,2017,3,,-,0,,3,,,-,,-,,-,0,,10,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
IDAHO,2017,3,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"IDAHO
(43.680635, -114.364237)",
MISSOURI,2017,3,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
ARKANSAS,2017,3,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
ALABAMA,2017,3,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
NEW HAMPSHIRE,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
WEST VIRGINIA,2017,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
OKLAHOMA,2017,3,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
WYOMING,2017,3,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"WYOMING
(43.23558, -108.110518)",
HAWAII,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
VIRGINIA,2017,3,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
MISSISSIPPI,2017,3,,-,0,,4,,,-,,-,,-,0,,2,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
TEXAS,2017,3,,-,1,,18,,,-,,-,,-,0,,10,,,-,,-,"TEXAS
(31.827233, -99.423022)",
MINNESOTA,2017,3,,-,0,,3,,,-,,-,,-,0,,13,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
FLORIDA,2017,3,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
MARYLAND,2017,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
MICHIGAN,2017,3,,-,0,,10,,,-,,-,,-,0,,1,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
UTAH,2017,3,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"UTAH
(39.359772, -111.584173)",
CONNECTICUT,2017,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
OHIO,2017,3,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"OHIO
(40.056807, -82.405897)",
CALIFORNIA,2017,3,,-,0,,41,,,-,,-,,-,0,,23,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
VIRGIN ISL.,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
PUERTO RICO,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
UNITED STATES,2017,4,,-,8,,102,,,-,,-,,-,5,,111,,1,,1,,,
NEW ENGLAND,2017,4,,-,0,,3,,,-,,-,,-,0,,3,,,-,,-,,
