 Reporting Area,MMWR Year,MMWR Week,"Legionellosis, Current week","Legionellosis, Current week, flag","Legionellosis, Previous 52 weeks Med","Legionellosis, Previous 52 weeks Med, flag","Legionellosis, Previous 52 weeks Max","Legionellosis, Previous 52 weeks Max, flag","Legionellosis, Cum 2017","Legionellosis, Cum 2017, flag","Legionellosis, Cum 2016","Legionellosis, Cum 2016, flag","Malaria, Current week","Malaria, Current week, flag","Malaria, Previous 52 weeks Med","Malaria, Previous 52 weeks Med, flag","Malaria, Previous 52 weeks Max","Malaria, Previous 52 weeks Max, flag","Malaria, Cum 2017","Malaria, Cum 2017, flag","Malaria, Cum 2016","Malaria, Cum 2016, flag",Location 1,Location 2
VIRGINIA,2017,2,,-,2,,7,,,-,2,,,-,1,,4,,,-,1,,"VIRGINIA
(37.542699, -78.45822)",
VIRGIN ISL.,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
ARIZONA,2017,2,,-,1,,3,,1,,3,,,-,0,,4,,1,,,-,"ARIZONA
(34.869712, -111.760902)",
NEVADA,2017,2,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
MICHIGAN,2017,2,,-,3,,23,,,-,9,,,-,0,,4,,,-,2,,"MICHIGAN
(44.66399, -84.711206)",
NORTH CAROLINA,2017,2,,-,4,,10,,,-,12,,,-,0,,4,,,-,4,,"NORTH CAROLINA
(35.47995, -79.180571)",
INDIANA,2017,2,,-,2,,12,,,-,5,,,-,0,,2,,,-,,-,"INDIANA
(39.76845, -86.156212)",
SOUTH DAKOTA,2017,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,"SOUTH DAKOTA
(44.35371, -100.373709)",
ARKANSAS,2017,2,,-,0,,6,,,-,1,,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
MAINE,2017,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,1,,"MAINE
(45.252223, -68.986647)",
ILLINOIS,2017,2,,-,4,,17,,,-,6,,,-,1,,5,,,-,1,,"ILLINOIS
(40.477092, -88.993221)",
OHIO,2017,2,9,,8,,32,,28,,13,,1,,1,,13,,2,,1,,"OHIO
(40.056807, -82.405897)",
RHODE ISLAND,2017,2,,-,0,,5,,,-,,-,,-,0,,3,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
MASSACHUSETTS,2017,2,,-,2,,11,,,-,3,,,-,1,,6,,,-,1,,"MASSACHUSETTS
(42.268546, -72.085064)",
KANSAS,2017,2,,-,0,,4,,,-,1,,,-,0,,2,,1,,,-,"KANSAS
(38.345528, -98.201847)",
WASHINGTON,2017,2,,-,1,,6,,,-,,-,,-,1,,4,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
COLORADO,2017,2,,-,0,,4,,,-,,-,1,,0,,2,,1,,,-,"COLORADO
(38.841772, -106.132562)",
TEXAS,2017,2,3,,4,,16,,3,,2,,1,,2,,11,,1,,1,,"TEXAS
(31.827233, -99.423022)",
DIST. OF COL.,2017,2,,-,0,,0,,,-,,-,,-,0,,3,,,-,1,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MISSISSIPPI,2017,2,,-,0,,3,,,-,,-,,-,0,,1,,,-,1,,"MISSISSIPPI
(32.738663, -89.537312)",
PENNSYLVANIA,2017,2,2,,6,,19,,4,,10,,,-,1,,5,,2,,2,,"PENNSYLVANIA
(40.789676, -77.858055)",
GUAM,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
VERMONT,2017,2,,-,0,,2,,,-,1,,,-,0,,2,,,-,,-,"VERMONT
(43.622479, -72.51927)",
FLORIDA,2017,2,7,,5,,13,,12,,12,,1,,1,,4,,1,,3,,"FLORIDA
(28.915325, -81.922409)",
OREGON,2017,2,,-,1,,3,,,-,1,,,-,0,,3,,2,,1,,"OREGON
(44.567912, -120.156945)",
HAWAII,2017,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"HAWAII
(21.30992, -157.858158)",
MISSOURI,2017,2,1,,2,,13,,3,,2,,,-,0,,3,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
MINNESOTA,2017,2,,-,1,,9,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
NEW JERSEY,2017,2,,-,2,,7,,,-,4,,,-,1,,7,,1,,1,,"NEW JERSEY
(40.104655, -74.386686)",
DELAWARE,2017,2,,-,0,,2,,,-,3,,,-,0,,2,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
NORTH DAKOTA,2017,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
WISCONSIN,2017,2,,-,0,,3,,,-,1,,,-,0,,2,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
UNITED STATES,2017,3,36,,97,,208,,147,,229,,15,,33,,85,,46,,60,,,
NEW ENGLAND,2017,3,,-,4,,21,,3,,6,,,-,2,,7,,,-,8,,,
MID. ATLANTIC,2017,3,11,,20,,64,,37,,64,,6,,8,,24,,17,,12,,,
NEW YORK CITY,2017,3,4,,4,,31,,22,,35,,2,,4,,17,,10,,7,,,
E.N. CENTRAL,2017,3,7,,19,,69,,35,,41,,2,,3,,25,,4,,6,,,
W.N. CENTRAL,2017,3,1,,5,,20,,8,,4,,,-,1,,5,,2,,2,,,
S. ATLANTIC,2017,3,9,,18,,34,,29,,57,,6,,8,,26,,15,,22,,,
E.S. CENTRAL,2017,3,2,,5,,13,,19,,10,,,-,1,,3,,1,,4,,,
W.S. CENTRAL,2017,3,2,,6,,27,,6,,5,,,-,2,,14,,1,,3,,,
MOUNTAIN,2017,3,3,,3,,10,,7,,9,,1,,1,,5,,4,,1,,,
PACIFIC,2017,3,1,,10,,21,,3,,33,,,-,3,,9,,2,,2,,,
AMER. SAMOA,2017,3,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,
UTAH,2017,3,,-,0,,3,,,-,2,,,-,0,,3,,1,,,-,"UTAH
(39.359772, -111.584173)",
GUAM,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
NEVADA,2017,3,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
CONNECTICUT,2017,3,,-,1,,6,,1,,1,,,-,0,,0,,,-,1,,"CONNECTICUT
(41.544654, -72.651713)",
WASHINGTON,2017,3,,-,1,,6,,,-,,-,,-,1,,4,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
ARKANSAS,2017,3,,-,0,,6,,,-,1,,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
C.N.M.I.,2017,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NORTH CAROLINA,2017,3,,-,4,,10,,,-,13,,,-,1,,4,,1,,4,,"NORTH CAROLINA
(35.47995, -79.180571)",
MAINE,2017,3,,-,0,,2,,,-,1,,,-,0,,1,,,-,1,,"MAINE
(45.252223, -68.986647)",
TENNESSEE,2017,3,2,,2,,7,,10,,8,,,-,0,,2,,,-,1,,"TENNESSEE
(35.681402, -85.774444)",
DELAWARE,2017,3,,-,0,,2,,,-,3,,,-,0,,2,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
MONTANA,2017,3,,-,0,,1,,1,,,-,,-,0,,1,,,-,,-,"MONTANA
(47.062617, -109.430168)",
OKLAHOMA,2017,3,,-,0,,20,,,-,,-,,-,0,,1,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
MISSOURI,2017,3,,-,2,,13,,4,,3,,,-,0,,3,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
CALIFORNIA,2017,3,,-,8,,18,,1,,32,,,-,2,,7,,,-,1,,"CALIFORNIA
(37.640735, -121.002435)",
ILLINOIS,2017,3,,-,4,,17,,,-,11,,,-,1,,5,,,-,2,,"ILLINOIS
(40.477092, -88.993221)",
RHODE ISLAND,2017,3,,-,0,,5,,,-,,-,,-,0,,3,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
IOWA,2017,3,,-,1,,2,,1,,,-,,-,0,,3,,,-,,-,"IOWA
(42.46942, -93.815856)",
VIRGINIA,2017,3,,-,2,,7,,1,,3,,2,,1,,4,,2,,2,,"VIRGINIA
(37.542699, -78.45822)",
PENNSYLVANIA,2017,3,7,,6,,19,,13,,11,,1,,1,,5,,3,,2,,"PENNSYLVANIA
(40.789676, -77.858055)",
FLORIDA,2017,3,7,,5,,13,,19,,20,,1,,1,,4,,2,,5,,"FLORIDA
(28.915325, -81.922409)",
IDAHO,2017,3,,-,0,,1,,,-,2,,1,,0,,0,,1,,,-,"IDAHO
(43.680635, -114.364237)",
NEBRASKA,2017,3,1,,0,,3,,3,,,-,,-,0,,1,,,-,1,,"NEBRASKA
(41.640503, -99.367122)",
WEST VIRGINIA,2017,3,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
MISSISSIPPI,2017,3,,-,0,,3,,,-,,-,,-,0,,1,,,-,2,,"MISSISSIPPI
(32.738663, -89.537312)",
VIRGIN ISL.,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
KENTUCKY,2017,3,,-,2,,6,,5,,,-,,-,0,,2,,1,,,-,"KENTUCKY
(37.64591, -84.774043)",
MASSACHUSETTS,2017,3,,-,2,,11,,1,,3,,,-,1,,6,,,-,4,,"MASSACHUSETTS
(42.268546, -72.085064)",
WYOMING,2017,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
WISCONSIN,2017,3,,-,0,,3,,,-,2,,,-,0,,2,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
VERMONT,2017,3,,-,0,,2,,,-,1,,,-,0,,2,,,-,,-,"VERMONT
(43.622479, -72.51927)",
NEW MEXICO,2017,3,,-,0,,3,,,-,1,,,-,0,,1,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
OHIO,2017,3,7,,8,,32,,35,,17,,2,,1,,13,,4,,1,,"OHIO
(40.056807, -82.405897)",
DIST. OF COL.,2017,3,,-,0,,0,,,-,,-,,-,0,,3,,,-,2,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MARYLAND,2017,3,2,,3,,6,,6,,7,,1,,3,,10,,7,,4,,"MARYLAND
(39.290443, -76.612333)",
MINNESOTA,2017,3,,-,1,,9,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
INDIANA,2017,3,,-,2,,12,,,-,5,,,-,0,,2,,,-,,-,"INDIANA
(39.76845, -86.156212)",
LOUISIANA,2017,3,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
SOUTH DAKOTA,2017,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,"SOUTH DAKOTA
(44.35371, -100.373709)",
KANSAS,2017,3,,-,0,,4,,,-,1,,,-,0,,2,,1,,,-,"KANSAS
(38.345528, -98.201847)",
NEW HAMPSHIRE,2017,3,,-,0,,3,,1,,,-,,-,0,,2,,,-,2,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
ALASKA,2017,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"ALASKA
(64.836661, -147.738891)",
NEW JERSEY,2017,3,,-,2,,7,,,-,5,,,-,1,,7,,1,,2,,"NEW JERSEY
(40.104655, -74.386686)",
ALABAMA,2017,3,,-,1,,4,,4,,2,,,-,0,,1,,,-,1,,"ALABAMA
(32.839182, -86.631125)",
TEXAS,2017,3,2,,4,,16,,6,,4,,,-,2,,14,,1,,3,,"TEXAS
(31.827233, -99.423022)",
ARIZONA,2017,3,1,,1,,3,,4,,4,,,-,0,,4,,1,,,-,"ARIZONA
(34.869712, -111.760902)",
PUERTO RICO,2017,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
OREGON,2017,3,1,,1,,3,,2,,1,,,-,0,,3,,2,,1,,"OREGON
(44.567912, -120.156945)",
GEORGIA,2017,3,,-,2,,6,,1,,8,,2,,1,,5,,3,,5,,"GEORGIA
(32.836038, -83.631709)",
MICHIGAN,2017,3,,-,3,,24,,,-,6,,,-,0,,4,,,-,3,,"MICHIGAN
(44.66399, -84.711206)",
COLORADO,2017,3,2,,0,,4,,2,,,-,,-,0,,2,,1,,1,,"COLORADO
(38.841772, -106.132562)",
HAWAII,2017,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"HAWAII
(21.30992, -157.858158)",
NORTH DAKOTA,2017,3,,-,0,,2,,,-,,-,,-,0,,1,,1,,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
SOUTH CAROLINA,2017,3,,-,1,,4,,2,,3,,,-,0,,3,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
NEW YORK,2017,3,,-,7,,26,,2,,13,,3,,1,,8,,3,,1,,"NEW YORK
(42.826892, -75.544286)",
UNITED STATES,2017,4,24,,100,,208,,209,,297,,21,,33,,85,,74,,86,,,
NEW ENGLAND,2017,4,1,,4,,21,,7,,9,,,-,2,,7,,3,,9,,,
MID. ATLANTIC,2017,4,6,,20,,64,,46,,76,,5,,8,,24,,23,,17,,,
NEW YORK CITY,2017,4,5,,4,,31,,27,,39,,3,,4,,17,,13,,8,,,
E.N. CENTRAL,2017,4,4,,21,,69,,50,,62,,,-,3,,25,,4,,6,,,
W.N. CENTRAL,2017,4,,-,5,,24,,9,,12,,,-,1,,5,,2,,2,,,
S. ATLANTIC,2017,4,9,,18,,34,,43,,63,,13,,8,,26,,31,,30,,,
E.S. CENTRAL,2017,4,2,,5,,13,,23,,13,,,-,1,,3,,1,,4,,,
W.S. CENTRAL,2017,4,1,,6,,27,,9,,10,,3,,2,,16,,4,,9,,,
MOUNTAIN,2017,4,,-,3,,10,,10,,12,,,-,1,,5,,4,,2,,,
PACIFIC,2017,4,1,,10,,22,,12,,40,,,-,3,,9,,2,,7,,,
AMER. SAMOA,2017,4,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,
COLORADO,2017,4,,-,0,,4,,2,,,-,,-,0,,2,,1,,2,,"COLORADO
(38.841772, -106.132562)",
