 Reporting Area,MMWR Year,MMWR Week,"Meningococcal disease, invasive (Neisseria meningitidis)§, All serogroups, Current week","Meningococcal disease, invasive (Neisseria meningitidis)§, All serogroups, Current week, flag","Meningococcal disease, invasive (Neisseria meningitidis)§, All serogroups, Previous 52 weeks Med","Meningococcal disease, invasive (Neisseria meningitidis)§, All serogroups, Previous 52 weeks Med, flag","Meningococcal disease, invasive (Neisseria meningitidis)§, All serogroups, Previous 52 weeks Max","Meningococcal disease, invasive (Neisseria meningitidis)§, All serogroups, Previous 52 weeks Max, flag","Meningococcal disease, invasive (Neisseria meningitidis)§, All serogroups, Cum 2017","Meningococcal disease, invasive (Neisseria meningitidis)§, All serogroups, Cum 2017, flag","Meningococcal disease, invasive (Neisseria meningitidis)§, All serogroups, Cum 2016","Meningococcal disease, invasive (Neisseria meningitidis)§, All serogroups, Cum 2016, flag","Mumps, Current week","Mumps, Current week, flag","Mumps, Previous 52 weeks Med","Mumps, Previous 52 weeks Med, flag","Mumps, Previous 52 weeks Max","Mumps, Previous 52 weeks Max, flag","Mumps, Cum 2017","Mumps, Cum 2017, flag","Mumps, Cum 2016","Mumps, Cum 2016, flag","Pertussis, Current week","Pertussis, Current week, flag","Pertussis, Previous 52 weeks Med","Pertussis, Previous 52 weeks Med, flag","Pertussis, Previous 52 weeks Max","Pertussis, Previous 52 weeks Max, flag","Pertussis, Cum 2017","Pertussis, Cum 2017, flag","Pertussis, Cum 2016","Pertussis, Cum 2016, flag",Location 1,Location 2
MISSISSIPPI,2017,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
NEVADA,2017,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,,-,1,,"NEVADA
(39.491833, -117.070159)",
UNITED STATES,2017,2,4,,6,,21,,7,,12,,78,,69,,399,,126,,89,,67,,315,,449,,146,,669,,,
NEW ENGLAND,2017,2,,-,0,,2,,,-,,-,,-,3,,38,,1,,,-,5,,14,,65,,11,,39,,,
MID. ATLANTIC,2017,2,,-,0,,4,,,-,,-,1,,5,,32,,5,,4,,17,,53,,90,,45,,131,,,
NEW YORK CITY,2017,2,,-,0,,2,,,-,,-,,-,2,,19,,,-,2,,,-,5,,14,,,-,17,,,
E.N. CENTRAL,2017,2,,-,0,,5,,,-,1,,,-,10,,55,,5,,21,,18,,70,,156,,37,,158,,,
W.N. CENTRAL,2017,2,,-,0,,1,,,-,,-,1,,14,,45,,3,,63,,2,,29,,53,,2,,63,,,
S. ATLANTIC,2017,2,4,,1,,4,,5,,2,,,-,2,,8,,1,,1,,4,,25,,43,,6,,74,,,
E.S. CENTRAL,2017,2,,-,0,,2,,,-,,-,,-,1,,15,,,-,,-,3,,13,,33,,5,,63,,,
W.S. CENTRAL,2017,2,,-,0,,3,,,-,2,,68,,2,,333,,101,,,-,,-,27,,83,,1,,9,,,
MOUNTAIN,2017,2,,-,0,,3,,,-,,-,1,,1,,6,,1,,,-,17,,31,,59,,34,,79,,,
PACIFIC,2017,2,,-,2,,7,,2,,7,,7,,2,,51,,9,,,-,1,,39,,61,,5,,53,,,
AMER. SAMOA,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
OKLAHOMA,2017,2,,-,0,,1,,,-,1,,13,,0,,81,,17,,,-,,-,0,,54,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
NORTH DAKOTA,2017,2,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,,-,0,,5,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
HAWAII,2017,2,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,1,,5,,,-,3,,"HAWAII
(21.30992, -157.858158)",
MISSOURI,2017,2,,-,0,,1,,,-,,-,,-,0,,29,,,-,,-,,-,4,,27,,,-,6,,"MISSOURI
(38.636168, -92.566292)",
PUERTO RICO,2017,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,4,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
MICHIGAN,2017,2,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,7,,29,,,-,20,,"MICHIGAN
(44.66399, -84.711206)",
VIRGIN ISL.,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
OHIO,2017,2,,-,0,,1,,,-,,-,,-,1,,20,,,-,1,,12,,18,,38,,30,,50,,"OHIO
(40.056807, -82.405897)",
FLORIDA,2017,2,1,,0,,2,,2,,1,,,-,0,,2,,1,,,-,2,,6,,16,,3,,20,,"FLORIDA
(28.915325, -81.922409)",
VIRGINIA,2017,2,1,,0,,2,,1,,,-,,-,0,,2,,,-,,-,,-,3,,10,,,-,4,,"VIRGINIA
(37.542699, -78.45822)",
RHODE ISLAND,2017,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,16,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
DIST. OF COL.,2017,2,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
ARKANSAS,2017,2,,-,0,,1,,,-,1,,52,,0,,248,,75,,,-,,-,1,,4,,,-,2,,"ARKANSAS
(34.748745, -92.275105)",
SOUTH DAKOTA,2017,2,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,,-,1,,"SOUTH DAKOTA
(44.35371, -100.373709)",
UTAH,2017,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,1,,4,,10,,1,,14,,"UTAH
(39.359772, -111.584173)",
WYOMING,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,3,,,-,1,,"WYOMING
(43.23558, -108.110518)",
CONNECTICUT,2017,2,,-,0,,1,,,-,,-,,-,0,,12,,,-,,-,,-,1,,6,,,-,3,,"CONNECTICUT
(41.544654, -72.651713)",
MISSISSIPPI,2017,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
OREGON,2017,2,,-,0,,3,,2,,3,,1,,0,,5,,1,,,-,,-,3,,13,,,-,7,,"OREGON
(44.567912, -120.156945)",
KANSAS,2017,2,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,,-,2,,8,,,-,3,,"KANSAS
(38.345528, -98.201847)",
GUAM,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
ARIZONA,2017,2,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,8,,4,,21,,11,,29,,"ARIZONA
(34.869712, -111.760902)",
SOUTH CAROLINA,2017,2,2,,0,,2,,2,,1,,,-,0,,2,,,-,,-,,-,2,,15,,,-,10,,"SOUTH CAROLINA
(34.009286, -81.037094)",
INDIANA,2017,2,,-,0,,2,,,-,,-,,-,2,,23,,,-,,-,,-,2,,9,,,-,6,,"INDIANA
(39.76845, -86.156212)",
PENNSYLVANIA,2017,2,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,10,,25,,77,,33,,57,,"PENNSYLVANIA
(40.789676, -77.858055)",
NEW HAMPSHIRE,2017,2,,-,0,,0,,,-,,-,,-,0,,5,,1,,,-,,-,1,,4,,,-,3,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MINNESOTA,2017,2,,-,0,,1,,,-,,-,,-,0,,4,,,-,3,,,-,13,,34,,,-,32,,"MINNESOTA
(46.357661, -94.793397)",
IOWA,2017,2,,-,0,,1,,,-,,-,1,,11,,40,,3,,59,,,-,2,,11,,,-,7,,"IOWA
(42.46942, -93.815856)",
CALIFORNIA,2017,2,,-,1,,6,,,-,4,,,-,1,,9,,1,,,-,1,,23,,36,,4,,37,,"CALIFORNIA
(37.640735, -121.002435)",
MARYLAND,2017,2,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,2,,2,,9,,3,,4,,"MARYLAND
(39.290443, -76.612333)",
C.N.M.I.,2017,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
TENNESSEE,2017,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,3,,3,,5,,3,,7,,"TENNESSEE
(35.681402, -85.774444)",
KENTUCKY,2017,2,,-,0,,1,,,-,,-,,-,0,,15,,,-,,-,,-,7,,27,,2,,45,,"KENTUCKY
(37.64591, -84.774043)",
ALABAMA,2017,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,3,,7,,,-,11,,"ALABAMA
(32.839182, -86.631125)",
WASHINGTON,2017,2,,-,0,,1,,,-,,-,6,,0,,49,,6,,,-,,-,9,,35,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
NEW MEXICO,2017,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,3,,8,,,-,4,,"NEW MEXICO
(34.520396, -106.244402)",
GEORGIA,2017,2,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,-,3,,18,,,-,11,,"GEORGIA
(32.836038, -83.631709)",
NEW JERSEY,2017,2,,-,0,,2,,,-,,-,,-,0,,3,,,-,1,,,-,8,,24,,,-,42,,"NEW JERSEY
(40.104655, -74.386686)",
WEST VIRGINIA,2017,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,,-,1,,"WEST VIRGINIA
(38.668501, -80.709421)",
WISCONSIN,2017,2,,-,0,,1,,,-,1,,,-,0,,12,,4,,2,,6,,23,,99,,7,,44,,"WISCONSIN
(44.395526, -89.834513)",
NEW YORK,2017,2,,-,0,,1,,,-,,-,1,,1,,24,,5,,1,,7,,13,,28,,12,,15,,"NEW YORK
(42.826892, -75.544286)",
NORTH CAROLINA,2017,2,,-,0,,1,,,-,,-,,-,0,,8,,,-,1,,,-,4,,11,,,-,20,,"NORTH CAROLINA
(35.47995, -79.180571)",
MONTANA,2017,2,,-,0,,1,,,-,,-,,-,0,,6,,,-,,-,,-,0,,3,,,-,1,,"MONTANA
(47.062617, -109.430168)",
MAINE,2017,2,,-,0,,1,,,-,,-,,-,0,,4,,,-,,-,4,,4,,14,,8,,13,,"MAINE
(45.252223, -68.986647)",
TEXAS,2017,2,,-,0,,3,,,-,,-,3,,1,,43,,9,,,-,,-,21,,40,,1,,4,,"TEXAS
(31.827233, -99.423022)",
MASSACHUSETTS,2017,2,,-,0,,2,,,-,,-,,-,1,,28,,,-,,-,,-,3,,8,,,-,7,,"MASSACHUSETTS
(42.268546, -72.085064)",
COLORADO,2017,2,,-,0,,1,,,-,,-,1,,0,,3,,1,,,-,8,,16,,27,,22,,25,,"COLORADO
(38.841772, -106.132562)",
ALASKA,2017,2,,-,0,,2,,,-,,-,,-,0,,2,,1,,,-,,-,2,,10,,1,,6,,"ALASKA
(64.836661, -147.738891)",
IDAHO,2017,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,1,,8,,,-,3,,"IDAHO
(43.680635, -114.364237)",
LOUISIANA,2017,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,1,,5,,,-,3,,"LOUISIANA
(31.2931, -92.463284)",
NEBRASKA,2017,2,,-,0,,1,,,-,,-,,-,0,,10,,,-,,-,2,,2,,9,,2,,14,,"NEBRASKA
(41.640503, -99.367122)",
ILLINOIS,2017,2,,-,0,,2,,,-,,-,,-,4,,25,,1,,18,,,-,18,,36,,,-,38,,"ILLINOIS
(40.477092, -88.993221)",
DELAWARE,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,4,,"DELAWARE
(39.008676, -75.574561)",
NEVADA,2017,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,,-,2,,"NEVADA
(39.491833, -117.070159)",
VERMONT,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,3,,44,,3,,13,,"VERMONT
(43.622479, -72.51927)",
UNITED STATES,2017,3,10,,6,,20,,21,,20,,48,,75,,403,,228,,145,,107,,315,,462,,315,,964,,,
NEW ENGLAND,2017,3,,-,0,,2,,,-,,-,,-,3,,38,,1,,1,,7,,14,,69,,31,,50,,,
MID. ATLANTIC,2017,3,1,,0,,4,,1,,,-,2,,6,,32,,11,,5,,15,,54,,90,,69,,198,,,
NEW YORK CITY,2017,3,,-,0,,2,,,-,,-,,-,2,,19,,4,,3,,,-,5,,14,,,-,26,,,
E.N. CENTRAL,2017,3,3,,0,,6,,3,,3,,,-,10,,55,,12,,32,,24,,71,,156,,71,,232,,,
W.N. CENTRAL,2017,3,,-,0,,1,,,-,,-,2,,14,,45,,9,,103,,1,,29,,55,,5,,88,,,
S. ATLANTIC,2017,3,3,,1,,4,,8,,3,,,-,2,,8,,1,,3,,12,,25,,43,,30,,94,,,
E.S. CENTRAL,2017,3,,-,0,,2,,1,,,-,,-,1,,15,,1,,,-,4,,13,,33,,10,,77,,,
W.S. CENTRAL,2017,3,,-,0,,3,,1,,3,,43,,2,,333,,177,,,-,,-,27,,83,,3,,18,,,
MOUNTAIN,2017,3,1,,0,,3,,2,,2,,1,,1,,6,,2,,1,,37,,30,,51,,78,,130,,,
PACIFIC,2017,3,2,,2,,7,,5,,9,,,-,2,,52,,14,,,-,7,,39,,64,,18,,77,,,
AMER. SAMOA,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
COLORADO,2017,3,,-,0,,1,,,-,,-,1,,0,,3,,2,,,-,26,,15,,27,,48,,48,,"COLORADO
(38.841772, -106.132562)",
IDAHO,2017,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,1,,8,,1,,3,,"IDAHO
(43.680635, -114.364237)",
HAWAII,2017,3,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,,-,1,,5,,2,,7,,"HAWAII
(21.30992, -157.858158)",
ARIZONA,2017,3,1,,0,,1,,2,,1,,,-,0,,2,,,-,1,,11,,4,,21,,25,,50,,"ARIZONA
(34.869712, -111.760902)",
TEXAS,2017,3,,-,0,,3,,,-,1,,3,,1,,47,,14,,,-,,-,21,,41,,1,,9,,"TEXAS
(31.827233, -99.423022)",
RHODE ISLAND,2017,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,16,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
WYOMING,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,3,,,-,3,,"WYOMING
(43.23558, -108.110518)",
FLORIDA,2017,3,3,,0,,2,,5,,1,,,-,0,,2,,1,,,-,6,,6,,16,,9,,28,,"FLORIDA
(28.915325, -81.922409)",
GEORGIA,2017,3,,-,0,,3,,,-,1,,,-,0,,2,,,-,,-,,-,2,,18,,,-,12,,"GEORGIA
(32.836038, -83.631709)",
DELAWARE,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,4,,"DELAWARE
(39.008676, -75.574561)",
CONNECTICUT,2017,3,,-,0,,1,,,-,,-,,-,0,,12,,,-,,-,,-,1,,6,,,-,3,,"CONNECTICUT
(41.544654, -72.651713)",
MARYLAND,2017,3,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,1,,2,,9,,5,,5,,"MARYLAND
(39.290443, -76.612333)",
NORTH CAROLINA,2017,3,,-,0,,1,,,-,,-,,-,0,,8,,,-,2,,,-,4,,11,,1,,25,,"NORTH CAROLINA
(35.47995, -79.180571)",
KENTUCKY,2017,3,,-,0,,1,,,-,,-,,-,0,,15,,,-,,-,1,,7,,27,,3,,52,,"KENTUCKY
(37.64591, -84.774043)",
NEW HAMPSHIRE,2017,3,,-,0,,0,,,-,,-,,-,0,,5,,1,,,-,,-,1,,4,,,-,3,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
OHIO,2017,3,3,,0,,1,,3,,1,,,-,1,,20,,,-,3,,24,,18,,38,,54,,71,,"OHIO
(40.056807, -82.405897)",
